run_id,dataset,method,scenario,seed,task_idx,metric,value
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,0,A_t,0.261
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,0,AIA,0.261
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,0,BWT,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,0,Forgetting,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,0,FWT,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,0,RAG_mean,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,0,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,1,A_t,0.17342857142857143
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,1,AIA,0.21721428571428572
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,1,BWT,-0.07700000000000001
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,1,Forgetting,0.07700000000000001
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,1,FWT,0.261
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,1,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,1,Repetition_Gain,-0.09619047619047617
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,2,A_t,0.13434920634920636
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,2,AIA,0.18959259259259262
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,2,BWT,-0.07326190476190475
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,2,Forgetting,0.07326190476190475
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,2,FWT,0.2119285714285714
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,2,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,2,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,3,A_t,0.11233928571428572
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,3,AIA,0.1702792658730159
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,3,BWT,-0.07626190476190475
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,3,Forgetting,0.07626190476190475
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,3,FWT,0.1831904761904762
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,3,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,3,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,4,A_t,0.08951428571428571
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,4,AIA,0.15412626984126984
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,4,BWT,-0.06585714285714285
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,4,Forgetting,0.06585714285714285
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,4,FWT,0.1695357142857143
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,4,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,4,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,5,A_t,0.08274603174603175
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,5,AIA,0.1422295634920635
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,5,BWT,-0.058904761904761904
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,5,Forgetting,0.059190476190476196
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,5,FWT,0.1422
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,5,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,5,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,6,A_t,0.07453061224489796
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,6,AIA,0.13255828474246842
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,6,BWT,-0.08321428571428573
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,6,Forgetting,0.08345238095238096
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,6,FWT,0.13183333333333333
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,6,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,6,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,7,A_t,0.06837946428571429
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,7,AIA,0.12453593218537416
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,7,BWT,-0.07423979591836735
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,7,Forgetting,0.0744438775510204
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,7,FWT,0.14585714285714285
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,7,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,7,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,8,A_t,0.0621763668430335
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,8,AIA,0.11760709159178075
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,8,BWT,-0.06999801587301588
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,8,Forgetting,0.0701765873015873
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,8,FWT,0.13333928571428572
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,8,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,8,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,A_t,0.05752857142857144
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,AIA,0.11159923957545981
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,BWT,-0.06666666666666665
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,Forgetting,0.06682539682539683
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,FWT,0.12439682539682541
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,Anchor_Retention,0.043333333333333335
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,Long_Range_Retention,0.051000000000000004
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,A_t,0.267
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,AIA,0.267
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,BWT,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,Forgetting,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,FWT,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,RAG_mean,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,A_t,0.15835714285714286
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,AIA,0.21267857142857144
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,BWT,-0.08600000000000002
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,Forgetting,0.08600000000000002
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,FWT,0.267
