method,scenario,dataset,AIA,A_t,Anchor_Retention,BWT,FWT,Forgetting,Long_Range_Retention,RAG_mean,Repetition_Gain
aper_adapter,cumulative_drift,cifar100,0.10881180004409172,0.05934285714285715,0.01888888888888889,-0.0670952380952381,0.1252010582010582,0.0672010582010582,0.04533333333333334,-0.02777777777777778,
aper_adapter,disjoint_baseline,cifar100,0.09913801587301588,0.05,,-0.05925925925925927,0.10618518518518519,0.05925925925925927,0.043666666666666666,,
aper_adapter,distribution_shift,cifar100,0.09796160052910054,0.049800000000000004,,-0.05711111111111111,0.10651851851851853,0.05711111111111111,0.04833333333333333,-0.09111111111111111,-0.02888888888888889
aper_adapter,exact_replay,cifar100,0.09987976190476192,0.0474,,-0.05814814814814816,0.10707407407407409,0.05814814814814816,0.024333333333333332,,
aper_adapter,long_range_revisit,cifar100,0.09487338624338625,0.046266666666666664,,-0.053666666666666675,0.10300000000000001,0.053666666666666675,0.036,,
aper_adapter,mid_range_revisit,cifar100,0.09810919312169313,0.04656666666666667,,-0.05781481481481481,0.10503703703703704,0.05781481481481481,0.057333333333333326,,
aper_adapter,partial_overlap,cifar100,0.09441429894179895,0.0469,,-0.05733333333333334,0.10388888888888889,0.05733333333333334,0.028,,-0.022666666666666672
coda_prompt,cumulative_drift,cifar100,0.06095182854623331,0.018185714285714284,0.5633333333333334,-0.0375026455026455,0.056280423280423285,0.0375026455026455,0.169,0.35,
coda_prompt,disjoint_baseline,cifar100,0.09247920634920635,0.04363333333333333,,-0.043444444444444445,0.08907407407407408,0.04866666666666667,0.079,,
coda_prompt,distribution_shift,cifar100,0.08621425925925927,0.018147619047619048,,-0.06874074074074074,0.08737037037037038,0.07244444444444445,0.16766666666666666,0.5544444444444444,0.5450793650793652
coda_prompt,exact_replay,cifar100,0.09201715608465609,0.04113333333333334,,-0.04425925925925926,0.08962962962962963,0.049740740740740745,0.06533333333333333,,
coda_prompt,long_range_revisit,cifar100,0.09132148148148149,0.044533333333333334,,-0.05914814814814815,0.10848148148148148,0.0637777777777778,0.026,,
coda_prompt,mid_range_revisit,cifar100,0.0919020634920635,0.04316666666666667,,-0.04296296296296297,0.0898888888888889,0.048,0.02866666666666667,,
coda_prompt,partial_overlap,cifar100,0.09007842592592594,0.04336666666666667,,-0.047592592592592596,0.0938888888888889,0.0535925925925926,0.02,,-0.033999999999999996
dualprompt,cumulative_drift,cifar100,0.06090613032249937,0.018947619047619046,0.5744444444444444,-0.03557142857142857,0.05471957671957672,0.03557142857142857,0.1723333333333333,0.3944444444444445,
dualprompt,disjoint_baseline,cifar100,0.09022191798941799,0.04103333333333334,,-0.04203703703703704,0.08418518518518518,0.04822222222222222,0.051,,
dualprompt,distribution_shift,cifar100,0.08526039682539684,0.017499999999999998,,-0.06003703703703704,0.07911111111111112,0.06814814814814815,0.17166666666666666,0.57,0.5688888888888889
dualprompt,exact_replay,cifar100,0.08971291005291006,0.04326666666666667,,-0.03481481481481481,0.082,0.04148148148148148,0.05499999999999999,,
dualprompt,long_range_revisit,cifar100,0.0919246693121693,0.043633333333333336,,-0.04674074074074074,0.09507407407407409,0.05485185185185185,0.020666666666666667,,
dualprompt,mid_range_revisit,cifar100,0.0895292328042328,0.04033333333333334,,-0.03755555555555556,0.082,0.04437037037037037,0.020666666666666667,,
dualprompt,partial_overlap,cifar100,0.08861414021164021,0.042133333333333335,,-0.036333333333333336,0.08137037037037037,0.04514814814814815,0.03066666666666667,,-0.032
ease,cumulative_drift,cifar100,0.10411917223062064,0.05610476190476191,0.08777777777777779,-0.11017460317460318,0.1565873015873016,0.11032275132275132,0.028666666666666667,-0.027777777777777773,
ease,disjoint_baseline,cifar100,0.09638166666666668,0.044000000000000004,,-0.12618518518518518,0.1577777777777778,0.12618518518518518,0.0003333333333333333,,
ease,distribution_shift,cifar100,0.09756133597883598,0.04763809523809524,,-0.11137037037037037,0.15255555555555556,0.11137037037037037,0.011000000000000001,-0.09111111111111111,-0.07015873015873017
ease,exact_replay,cifar100,0.09743607142857143,0.04693333333333334,,-0.117,0.15781481481481482,0.117,0.0006666666666666666,,
ease,long_range_revisit,cifar100,0.09537443121693123,0.047466666666666664,,-0.109,0.15151851851851852,0.109,0.0006666666666666666,,
ease,mid_range_revisit,cifar100,0.09548083333333333,0.041966666666666666,,-0.12162962962962963,0.15611111111111112,0.12162962962962963,0.0033333333333333335,,
ease,partial_overlap,cifar100,0.0970721693121693,0.04466666666666667,,-0.11425925925925927,0.15085185185185185,0.11425925925925927,0.0026666666666666666,,-0.015999999999999997
l2p,cumulative_drift,cifar100,0.0595734293377845,0.018914285714285713,0.5733333333333334,-0.03053439153439154,0.049645502645502645,0.03053439153439154,0.172,0.37777777777777777,
l2p,disjoint_baseline,cifar100,0.09518123015873016,0.0425,,-0.05922222222222221,0.10144444444444445,0.06266666666666666,0.062,,
l2p,distribution_shift,cifar100,0.08842472222222222,0.017066666666666664,,-0.07511111111111111,0.09296296296296297,0.07803703703703704,0.16066666666666665,0.5333333333333333,0.5255555555555556
l2p,exact_replay,cifar100,0.09609648148148148,0.04376666666666667,,-0.0545925925925926,0.10170370370370371,0.05811111111111112,0.06633333333333334,,
l2p,long_range_revisit,cifar100,0.09458566137566138,0.04323333333333334,,-0.06925925925925926,0.1172962962962963,0.07237037037037038,0.02866666666666667,,
l2p,mid_range_revisit,cifar100,0.09434477513227511,0.0437,,-0.05437037037037037,0.09974074074074074,0.05814814814814815,0.006666666666666667,,
l2p,partial_overlap,cifar100,0.09100670634920635,0.0442,,-0.04822222222222222,0.09307407407407407,0.05188888888888889,0.021333333333333333,,-0.07666666666666666
mos,cumulative_drift,cifar100,0.1065835451835055,0.05904285714285715,0.031111111111111114,-0.06617460317460318,0.12241269841269843,0.06675661375661376,0.04566666666666667,-0.07222222222222223,
mos,disjoint_baseline,cifar100,0.0960778835978836,0.0478,,-0.06262962962962963,0.10685185185185185,0.06262962962962963,0.03766666666666667,,
mos,distribution_shift,cifar100,0.09602878306878307,0.04888571428571429,,-0.05933333333333334,0.10740740740740741,0.05933333333333334,0.03666666666666667,-0.07333333333333333,-0.03396825396825398
mos,exact_replay,cifar100,0.09464886243386243,0.045866666666666674,,-0.05803703703703705,0.10674074074074075,0.05803703703703705,0.02666666666666667,,
mos,long_range_revisit,cifar100,0.09223165343915345,0.04346666666666667,,-0.05540740740740741,0.10192592592592595,0.05544444444444445,0.026666666666666665,,
mos,mid_range_revisit,cifar100,0.09549186507936508,0.045700000000000005,,-0.05981481481481482,0.1057037037037037,0.05981481481481482,0.06733333333333334,,
mos,partial_overlap,cifar100,0.09414853174603174,0.04713333333333333,,-0.05996296296296297,0.10666666666666667,0.05996296296296297,0.014666666666666666,,-0.01666666666666667
ranpac,cumulative_drift,cifar100,0.1535273390127656,0.09897619047619048,0.08444444444444443,-0.09084656084656086,0.18531746031746033,0.09084656084656086,0.115,0.005555555555555556,
ranpac,disjoint_baseline,cifar100,0.14693187830687832,0.08266666666666667,,-0.08081481481481481,0.16122222222222224,0.08081481481481481,0.09166666666666667,,
ranpac,distribution_shift,cifar100,0.14446724867724867,0.0855,,-0.08062962962962963,0.16525925925925924,0.08062962962962963,0.1,-0.034444444444444444,-0.003333333333333332
ranpac,exact_replay,cifar100,0.14687250000000002,0.07906666666666667,,-0.08066666666666668,0.1617037037037037,0.08066666666666668,0.052333333333333336,,
ranpac,long_range_revisit,cifar100,0.14042736772486772,0.07536666666666667,,-0.10192592592592593,0.1852962962962963,0.10200000000000001,0.004,,
ranpac,mid_range_revisit,cifar100,0.14329661375661376,0.07583333333333334,,-0.07137037037037036,0.15474074074074073,0.0714074074074074,0.015333333333333334,,
ranpac,partial_overlap,cifar100,0.1412539814814815,0.0786,,-0.09033333333333335,0.17222222222222222,0.09033333333333335,0.008,,-0.08733333333333333
simplecil,cumulative_drift,cifar100,0.09665107993197279,0.0543,0.012222222222222223,-0.07458730158730159,0.1306878306878307,0.07485185185185185,0.013000000000000001,-0.07777777777777778,
simplecil,disjoint_baseline,cifar100,0.08505694444444445,0.04316666666666667,,-0.06155555555555556,0.10355555555555557,0.06155555555555556,0.009,,
simplecil,distribution_shift,cifar100,0.08404470899470899,0.04303333333333333,,-0.062148148148148154,0.10255555555555555,0.062148148148148154,0.007666666666666667,-0.17333333333333334,-0.05555555555555556
simplecil,exact_replay,cifar100,0.08558710317460318,0.04176666666666667,,-0.05948148148148148,0.10455555555555555,0.05948148148148148,0.004333333333333333,,
simplecil,long_range_revisit,cifar100,0.08239398148148148,0.04136666666666667,,-0.05755555555555556,0.10248148148148149,0.05755555555555556,0.008,,
