run_id,dataset,method,scenario,seed,task_idx,metric,value
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,0,A_t,0.9289999999999999
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,0,AIA,0.9289999999999999
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,0,BWT,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,0,Forgetting,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,0,FWT,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,0,RAG_mean,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,0,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,1,A_t,0.8916428571428572
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,1,AIA,0.9103214285714285
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,1,BWT,-0.029999999999999916
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,1,Forgetting,0.029999999999999916
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,1,FWT,0.9289999999999999
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,1,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,1,Repetition_Gain,0.01571428571428568
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,2,A_t,0.8739206349206349
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,2,AIA,0.8981878306878306
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,2,BWT,-0.03290476190476177
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,2,Forgetting,0.03290476190476177
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,2,FWT,0.9066428571428571
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,2,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,2,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,3,A_t,0.8690357142857142
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,3,AIA,0.8908998015873015
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,3,BWT,-0.03476190476190477
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,3,Forgetting,0.03476190476190477
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,3,FWT,0.8958571428571428
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,3,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,3,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,4,A_t,0.8408285714285715
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,4,AIA,0.8808855555555555
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,4,BWT,-0.040142857142857175
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,4,Forgetting,0.040142857142857175
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,4,FWT,0.8951071428571428
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,4,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,4,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,5,A_t,0.8276746031746032
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,5,AIA,0.8720170634920633
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,5,BWT,-0.04344761904761918
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,5,Forgetting,0.04344761904761918
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,5,FWT,0.872942857142857
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,5,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,5,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,6,A_t,0.8108163265306123
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,6,AIA,0.8632741010689989
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,6,BWT,-0.061261904761904795
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,6,Forgetting,0.061261904761904795
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,6,FWT,0.8638809523809523
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,6,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,6,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,7,A_t,0.7957410714285714
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,7,AIA,0.8548324723639456
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,7,BWT,-0.06329591836734695
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,7,Forgetting,0.06329591836734695
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,7,FWT,0.8633265306122448
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,7,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,7,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,A_t,0.7880670194003527
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,AIA,0.8474140887013242
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,BWT,-0.06651388888888891
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,Forgetting,0.06651388888888891
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,FWT,0.851125
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,RAG_mean,-0.03333333333333336
