task_idx,metric,value
0,A_t,0.21100000000000002
0,AIA,0.21100000000000002
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.15914285714285714
1,AIA,0.18507142857142858
1,BWT,-0.04700000000000004
1,Forgetting,0.04700000000000004
1,FWT,0.21100000000000002
1,RAG_mean,0.016666666666666663
1,Repetition_Gain,-0.10428571428571431
2,A_t,0.12304761904761906
2,AIA,0.1643968253968254
2,BWT,-0.07592857142857144
2,Forgetting,0.07592857142857144
2,FWT,0.18264285714285716
2,RAG_mean,0.016666666666666663
2,Repetition_Gain,nan
3,A_t,0.10426785714285715
3,AIA,0.14936458333333336
3,BWT,-0.0736904761904762
3,Forgetting,0.0736904761904762
3,FWT,0.17366666666666666
3,RAG_mean,0.016666666666666663
3,Repetition_Gain,nan
4,A_t,0.08454285714285714
4,AIA,0.1364002380952381
4,BWT,-0.07171428571428573
4,Forgetting,0.07171428571428573
4,FWT,0.15953571428571428
4,RAG_mean,0.016666666666666663
4,Repetition_Gain,nan
5,A_t,0.07038888888888889
5,AIA,0.12539834656084659
5,BWT,-0.06687619047619049
5,Forgetting,0.06687619047619049
5,FWT,0.14191428571428572
5,RAG_mean,0.016666666666666663
5,Repetition_Gain,nan
6,A_t,0.07012244897959184
6,AIA,0.11750178976352448
6,BWT,-0.08216666666666667
6,Forgetting,0.08216666666666667
6,FWT,0.1261190476190476
6,RAG_mean,0.016666666666666663
6,Repetition_Gain,nan
7,A_t,0.06352232142857142
7,AIA,0.11075435622165533
7,BWT,-0.07366836734693878
7,Forgetting,0.07366836734693878
7,FWT,0.14055102040816325
7,RAG_mean,0.016666666666666663
7,Repetition_Gain,nan
8,A_t,0.05886948853615522
8,AIA,0.10498937092326643
8,BWT,-0.06693253968253969
8,Forgetting,0.06693253968253969
8,FWT,0.12798214285714285
8,RAG_mean,0.016666666666666663
8,Repetition_Gain,nan
9,A_t,0.05497142857142858
9,AIA,0.09998757668808264
9,BWT,-0.06252380952380952
9,Forgetting,0.06252380952380952
9,FWT,0.11836507936507935
9,RAG_mean,0.016666666666666663
9,Repetition_Gain,nan
9,Anchor_Retention,0.006666666666666667
9,Long_Range_Retention,0.033999999999999996
