task_idx,metric,value
0,A_t,0.288
0,AIA,0.288
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.16399999999999998
1,AIA,0.22599999999999998
1,BWT,-0.10799999999999998
1,Forgetting,0.10799999999999998
1,FWT,0.288
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11566666666666665
2,AIA,0.1892222222222222
2,BWT,-0.103
2,Forgetting,0.103
2,FWT,0.21799999999999997
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.09000000000000001
3,AIA,0.16441666666666666
3,BWT,-0.07333333333333332
3,Forgetting,0.07333333333333332
3,FWT,0.18433333333333332
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0772
4,AIA,0.14697333333333334
4,BWT,-0.07474999999999998
4,Forgetting,0.07474999999999998
4,FWT,0.145
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.07083333333333335
5,AIA,0.13428333333333334
5,BWT,-0.06999999999999998
5,Forgetting,0.06999999999999998
5,FWT,0.13699999999999998
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06228571428571429
6,AIA,0.12399795918367347
6,BWT,-0.06566666666666666
6,Forgetting,0.06566666666666666
6,FWT,0.12916666666666665
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.057125
7,AIA,0.11563883928571428
7,BWT,-0.06314285714285714
7,Forgetting,0.06314285714285714
7,FWT,0.11857142857142855
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05177777777777778
8,AIA,0.10854316578483245
8,BWT,-0.060875
8,Forgetting,0.060875
8,FWT,0.112375
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0492
9,AIA,0.1026088492063492
9,BWT,-0.05777777777777778
9,Forgetting,0.05777777777777778
9,FWT,0.1058888888888889
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.062
