task_idx,metric,value
0,A_t,0.266
0,AIA,0.266
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1525
1,AIA,0.20925
1,BWT,-0.11800000000000002
1,Forgetting,0.11800000000000002
1,FWT,0.266
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11833333333333336
2,AIA,0.17894444444444446
2,BWT,-0.09799999999999999
2,Forgetting,0.09799999999999999
2,FWT,0.21150000000000002
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.09125000000000001
3,AIA,0.15702083333333336
3,BWT,-0.08466666666666667
3,Forgetting,0.08466666666666667
3,FWT,0.18366666666666667
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07980000000000001
4,AIA,0.14157666666666668
4,BWT,-0.08425000000000002
4,Forgetting,0.08425000000000002
4,FWT,0.15475000000000003
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.073
5,AIA,0.13014722222222222
5,BWT,-0.078
5,Forgetting,0.078
5,FWT,0.14720000000000003
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06614285714285714
6,AIA,0.12100374149659865
6,BWT,-0.07416666666666667
6,Forgetting,0.07416666666666667
6,FWT,0.138
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.06325
7,AIA,0.11378452380952381
7,BWT,-0.07157142857142859
7,Forgetting,0.07157142857142859
7,FWT,0.12971428571428573
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.057
8,AIA,0.10747513227513228
8,BWT,-0.06637500000000002
8,Forgetting,0.06637500000000002
8,FWT,0.12587500000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.05352857142857144
9,AIA,0.1020804761904762
9,BWT,-0.06255555555555556
9,Forgetting,0.06255555555555556
9,FWT,0.116
9,RAG_mean,-0.14666666666666667
9,Repetition_Gain,-0.04095238095238095
9,Anchor_Retention,nan
9,Long_Range_Retention,0.059
