task_idx,metric,value
0,A_t,0.24100000000000002
0,AIA,0.24100000000000002
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.149
1,AIA,0.195
1,BWT,-0.07400000000000004
1,Forgetting,0.07400000000000004
1,FWT,0.24100000000000002
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11433333333333334
2,AIA,0.1681111111111111
2,BWT,-0.07150000000000001
2,Forgetting,0.07150000000000001
2,FWT,0.186
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08925000000000001
3,AIA,0.14839583333333334
3,BWT,-0.057000000000000016
3,Forgetting,0.057000000000000016
3,FWT,0.162
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0736
4,AIA,0.13343666666666668
4,BWT,-0.06650000000000002
4,Forgetting,0.06650000000000002
4,FWT,0.132
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06816666666666667
5,AIA,0.12255833333333334
5,BWT,-0.06240000000000001
5,Forgetting,0.06240000000000001
5,FWT,0.1268
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.061285714285714284
6,AIA,0.11380510204081633
6,BWT,-0.05716666666666668
6,Forgetting,0.05716666666666668
6,FWT,0.12016666666666666
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.053500000000000006
7,AIA,0.10626696428571429
7,BWT,-0.05528571428571429
7,Forgetting,0.05528571428571429
7,FWT,0.11028571428571429
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04822222222222222
8,AIA,0.09981754850088184
8,BWT,-0.05425000000000001
8,Forgetting,0.05425000000000001
8,FWT,0.10187500000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0435
9,AIA,0.09418579365079366
9,BWT,-0.04966666666666667
9,Forgetting,0.04966666666666667
9,FWT,0.09644444444444446
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.024
