task_idx,metric,value
0,A_t,0.22200000000000003
0,AIA,0.22200000000000003
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1395
1,AIA,0.18075000000000002
1,BWT,-0.06800000000000003
1,Forgetting,0.06800000000000003
1,FWT,0.22200000000000003
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10866666666666668
2,AIA,0.15672222222222223
2,BWT,-0.06750000000000002
2,Forgetting,0.06750000000000002
2,FWT,0.17350000000000002
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08275
3,AIA,0.13822916666666668
3,BWT,-0.05566666666666668
3,Forgetting,0.05566666666666668
3,FWT,0.1536666666666667
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0684
4,AIA,0.12426333333333335
4,BWT,-0.06650000000000002
4,Forgetting,0.06650000000000002
4,FWT,0.12450000000000001
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06183333333333333
5,AIA,0.11385833333333334
5,BWT,-0.06180000000000002
5,Forgetting,0.06180000000000002
5,FWT,0.12160000000000001
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05657142857142857
6,AIA,0.10567448979591838
6,BWT,-0.05666666666666668
6,Forgetting,0.05666666666666668
6,FWT,0.11333333333333336
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.04975
7,AIA,0.09868392857142858
7,BWT,-0.05285714285714287
7,Forgetting,0.05285714285714287
7,FWT,0.10514285714285718
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04555555555555555
8,AIA,0.09278077601410935
8,BWT,-0.05100000000000001
8,Forgetting,0.05100000000000001
8,FWT,0.096
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0403
9,AIA,0.08753269841269842
9,BWT,-0.047000000000000014
9,Forgetting,0.047000000000000014
9,FWT,0.0908888888888889
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.022
