task_idx,metric,value
0,A_t,0.288
0,AIA,0.288
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.16399999999999998
1,AIA,0.22599999999999998
1,BWT,-0.10799999999999998
1,Forgetting,0.10799999999999998
1,FWT,0.288
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11566666666666665
2,AIA,0.1892222222222222
2,BWT,-0.103
2,Forgetting,0.103
2,FWT,0.21799999999999997
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.09000000000000001
3,AIA,0.16441666666666666
3,BWT,-0.07333333333333332
3,Forgetting,0.07333333333333332
3,FWT,0.18433333333333332
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0762
4,AIA,0.14677333333333334
4,BWT,-0.07624999999999998
4,Forgetting,0.07624999999999998
4,FWT,0.145
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06866666666666667
5,AIA,0.13375555555555554
5,BWT,-0.07239999999999999
5,Forgetting,0.07239999999999999
5,FWT,0.1372
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05971428571428571
6,AIA,0.12317823129251701
6,BWT,-0.06649999999999999
6,Forgetting,0.06649999999999999
6,FWT,0.12899999999999998
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05462500000000001
7,AIA,0.11460907738095238
7,BWT,-0.06399999999999999
7,Forgetting,0.06399999999999999
7,FWT,0.1167142857142857
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.050444444444444445
8,AIA,0.10747967372134039
8,BWT,-0.06125
8,Forgetting,0.06125
8,FWT,0.110625
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.045700000000000005
9,AIA,0.10130170634920635
9,BWT,-0.05633333333333333
9,Forgetting,0.05633333333333333
9,FWT,0.10488888888888889
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.072
