task_idx,metric,value
0,A_t,0.258
0,AIA,0.258
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14950000000000002
1,AIA,0.20375000000000001
1,BWT,-0.092
1,Forgetting,0.092
1,FWT,0.258
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.111
2,AIA,0.17283333333333337
2,BWT,-0.087
2,Forgetting,0.087
2,FWT,0.1955
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08575000000000002
3,AIA,0.15106250000000002
3,BWT,-0.06199999999999999
3,Forgetting,0.06199999999999999
3,FWT,0.169
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07040000000000002
4,AIA,0.13493000000000002
4,BWT,-0.07024999999999999
4,Forgetting,0.07024999999999999
4,FWT,0.13225
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06516666666666666
5,AIA,0.1233027777777778
5,BWT,-0.0672
5,Forgetting,0.0672
5,FWT,0.1266
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.058
6,AIA,0.11397380952380955
6,BWT,-0.0625
6,Forgetting,0.0625
6,FWT,0.12116666666666666
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.0535
7,AIA,0.10641458333333334
7,BWT,-0.06057142857142857
7,Forgetting,0.06057142857142857
7,FWT,0.11157142857142857
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04855555555555555
8,AIA,0.09998580246913581
8,BWT,-0.059375000000000004
8,Forgetting,0.059375000000000004
8,FWT,0.10650000000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.046099999999999995
9,AIA,0.09459722222222224
9,BWT,-0.05666666666666667
9,Forgetting,0.05666666666666667
9,FWT,0.10133333333333334
9,RAG_mean,nan
9,Repetition_Gain,0.025999999999999995
9,Anchor_Retention,nan
9,Long_Range_Retention,0.02
