task_idx,metric,value
0,A_t,0.238
0,AIA,0.238
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.09392857142857142
1,AIA,0.1659642857142857
1,BWT,-0.123
1,Forgetting,0.123
1,FWT,0.238
1,RAG_mean,0.3833333333333333
1,Repetition_Gain,0.31047619047619046
2,A_t,0.0573015873015873
2,AIA,0.12974338624338624
2,BWT,-0.07376190476190475
2,Forgetting,0.07376190476190475
2,FWT,0.15542857142857142
2,RAG_mean,0.3833333333333333
2,Repetition_Gain,nan
3,A_t,0.045267857142857144
3,AIA,0.10862450396825396
3,BWT,-0.05564285714285714
3,Forgetting,0.05564285714285714
3,FWT,0.10647619047619046
3,RAG_mean,0.3833333333333333
3,Repetition_Gain,nan
4,A_t,0.03571428571428571
4,AIA,0.0940424603174603
4,BWT,-0.047
4,Forgetting,0.047
4,FWT,0.087
4,RAG_mean,0.3833333333333333
4,Repetition_Gain,nan
5,A_t,0.02638888888888889
5,AIA,0.08276686507936508
5,BWT,-0.041647619047619044
5,Forgetting,0.041647619047619044
5,FWT,0.0733142857142857
5,RAG_mean,0.3833333333333333
5,Repetition_Gain,nan
6,A_t,0.03408163265306123
6,AIA,0.07581183187560737
6,BWT,-0.034428571428571426
6,Forgetting,0.034428571428571426
6,FWT,0.06109523809523809
6,RAG_mean,0.3833333333333333
6,Repetition_Gain,nan
7,A_t,0.0196875
7,AIA,0.06879629039115646
7,BWT,-0.041091836734693875
7,Forgetting,0.041091836734693875
7,FWT,0.06359183673469387
7,RAG_mean,0.3833333333333333
7,Repetition_Gain,nan
8,A_t,0.019276895943562612
8,AIA,0.06329413545253493
8,BWT,-0.035920634920634915
8,Forgetting,0.035920634920634915
8,FWT,0.05564285714285714
8,RAG_mean,0.3833333333333333
8,Repetition_Gain,nan
9,A_t,0.015099999999999999
9,AIA,0.05847472190728144
9,BWT,-0.03442857142857143
9,Forgetting,0.03442857142857143
9,FWT,0.05120634920634921
9,RAG_mean,0.3833333333333333
9,Repetition_Gain,nan
9,Anchor_Retention,0.5033333333333333
9,Long_Range_Retention,0.151
