task_idx,metric,value
0,A_t,0.26799999999999996
0,AIA,0.26799999999999996
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.11250000000000002
1,AIA,0.19024999999999997
1,BWT,-0.09699999999999995
1,Forgetting,0.09699999999999995
1,FWT,0.26799999999999996
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.08933333333333333
2,AIA,0.1566111111111111
2,BWT,-0.08699999999999998
2,Forgetting,0.08699999999999998
2,FWT,0.16099999999999998
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.07150000000000001
3,AIA,0.1353333333333333
3,BWT,-0.06866666666666664
3,Forgetting,0.06866666666666664
3,FWT,0.14733333333333332
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.06239999999999999
4,AIA,0.12074666666666664
4,BWT,-0.057999999999999996
4,Forgetting,0.057999999999999996
4,FWT,0.12299999999999998
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.05533333333333334
5,AIA,0.10984444444444443
5,BWT,-0.054599999999999996
5,Forgetting,0.05539999999999999
5,FWT,0.10879999999999998
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05042857142857143
6,AIA,0.10135646258503399
6,BWT,-0.04449999999999999
6,Forgetting,0.05183333333333332
6,FWT,0.10083333333333333
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.045
7,AIA,0.09431190476190475
7,BWT,-0.044
7,Forgetting,0.05028571428571428
7,FWT,0.08857142857142856
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.043000000000000003
8,AIA,0.088610582010582
8,BWT,-0.03912499999999999
8,Forgetting,0.044625
8,FWT,0.08349999999999999
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0373
9,AIA,0.08347952380952381
9,BWT,-0.03722222222222222
9,Forgetting,0.04244444444444444
9,FWT,0.07777777777777778
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.06999999999999999
