task_idx,metric,value
0,A_t,0.254
0,AIA,0.254
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.13
1,AIA,0.192
1,BWT,-0.057999999999999996
1,Forgetting,0.057999999999999996
1,FWT,0.254
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10600000000000002
2,AIA,0.16333333333333336
2,BWT,-0.05899999999999999
2,Forgetting,0.05899999999999999
2,FWT,0.159
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.0805
3,AIA,0.142625
3,BWT,-0.053666666666666675
3,Forgetting,0.053666666666666675
3,FWT,0.14533333333333334
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.08600000000000001
4,AIA,0.1313
4,BWT,-0.04225
4,Forgetting,0.04225
4,FWT,0.12075000000000001
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.0785
5,AIA,0.1225
5,BWT,-0.0546
5,Forgetting,0.0548
5,FWT,0.11980000000000002
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06771428571428573
6,AIA,0.1146734693877551
6,BWT,-0.05066666666666667
6,Forgetting,0.05100000000000001
6,FWT,0.12400000000000001
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.060625000000000005
7,AIA,0.10791741071428572
7,BWT,-0.05742857142857143
7,Forgetting,0.057714285714285725
7,FWT,0.11114285714285717
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04877777777777778
8,AIA,0.10134634038800706
8,BWT,-0.05787500000000001
8,Forgetting,0.05812500000000001
8,FWT,0.110875
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.018142857142857145
9,AIA,0.09302599206349207
9,BWT,-0.08133333333333334
9,Forgetting,0.08155555555555556
9,FWT,0.10022222222222223
9,RAG_mean,0.5533333333333333
9,Repetition_Gain,0.5552380952380953
9,Anchor_Retention,nan
9,Long_Range_Retention,0.17
