task_idx,metric,value
0,A_t,0.28300000000000003
0,AIA,0.28300000000000003
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.141
1,AIA,0.21200000000000002
1,BWT,-0.07300000000000006
1,Forgetting,0.07300000000000006
1,FWT,0.28300000000000003
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10833333333333334
2,AIA,0.17744444444444443
2,BWT,-0.07550000000000001
2,Forgetting,0.07550000000000001
2,FWT,0.17750000000000002
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.0825
3,AIA,0.15370833333333334
3,BWT,-0.06333333333333334
3,Forgetting,0.06333333333333334
3,FWT,0.15866666666666668
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.08579999999999999
4,AIA,0.14012666666666668
4,BWT,-0.048000000000000015
4,Forgetting,0.048000000000000015
4,FWT,0.13
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.07416666666666667
5,AIA,0.12913333333333335
5,BWT,-0.06180000000000001
5,Forgetting,0.06180000000000001
5,FWT,0.1242
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.0642857142857143
6,AIA,0.11986938775510204
6,BWT,-0.055166666666666676
6,Forgetting,0.05583333333333334
6,FWT,0.12566666666666668
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.060875
7,AIA,0.11249508928571428
7,BWT,-0.056571428571428585
7,Forgetting,0.05928571428571429
7,FWT,0.11157142857142857
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05555555555555555
8,AIA,0.10616847442680775
8,BWT,-0.04987500000000001
8,Forgetting,0.052375000000000005
8,FWT,0.110375
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.04640000000000001
9,AIA,0.10019162698412698
9,BWT,-0.04844444444444445
9,Forgetting,0.05155555555555556
9,FWT,0.09988888888888889
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.05500000000000001
