task_idx,metric,value
0,A_t,0.25
0,AIA,0.25
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14500000000000002
1,AIA,0.1975
1,BWT,-0.11599999999999999
1,Forgetting,0.11599999999999999
1,FWT,0.25
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10833333333333332
2,AIA,0.16777777777777778
2,BWT,-0.1205
2,Forgetting,0.1205
2,FWT,0.203
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.081
3,AIA,0.14608333333333332
3,BWT,-0.09600000000000002
3,Forgetting,0.09600000000000002
3,FWT,0.18866666666666668
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.08360000000000001
4,AIA,0.13358666666666666
4,BWT,-0.07600000000000001
4,Forgetting,0.07600000000000001
4,FWT,0.15300000000000002
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.07233333333333335
5,AIA,0.12337777777777777
5,BWT,-0.09140000000000001
5,Forgetting,0.09140000000000001
5,FWT,0.14440000000000003
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.0652857142857143
6,AIA,0.11507891156462584
6,BWT,-0.082
6,Forgetting,0.083
6,FWT,0.14850000000000002
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.057374999999999995
7,AIA,0.10786592261904762
7,BWT,-0.08685714285714285
7,Forgetting,0.08771428571428572
7,FWT,0.1355714285714286
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05244444444444444
8,AIA,0.10170798059964727
8,BWT,-0.078625
8,Forgetting,0.079375
8,FWT,0.13337500000000002
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.047299999999999995
9,AIA,0.09626718253968254
9,BWT,-0.06977777777777777
9,Forgetting,0.07044444444444445
9,FWT,0.12233333333333335
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.01
