task_idx,metric,value
0,A_t,0.27
0,AIA,0.27
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14600000000000002
1,AIA,0.20800000000000002
1,BWT,-0.05999999999999997
1,Forgetting,0.05999999999999997
1,FWT,0.27
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10766666666666665
2,AIA,0.17455555555555557
2,BWT,-0.09250000000000001
2,Forgetting,0.09250000000000001
2,FWT,0.17600000000000002
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08175000000000002
3,AIA,0.15135416666666668
3,BWT,-0.06833333333333333
3,Forgetting,0.07033333333333333
3,FWT,0.16933333333333334
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07039999999999999
4,AIA,0.13516333333333336
4,BWT,-0.05500000000000001
4,Forgetting,0.05650000000000001
4,FWT,0.133
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.05783333333333333
5,AIA,0.12227500000000001
5,BWT,-0.06380000000000001
5,Forgetting,0.06520000000000001
5,FWT,0.11440000000000002
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05
6,AIA,0.11195000000000001
6,BWT,-0.057333333333333326
6,Forgetting,0.06083333333333333
6,FWT,0.111
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05625
7,AIA,0.10498750000000001
7,BWT,-0.05028571428571429
7,Forgetting,0.05542857142857144
7,FWT,0.09914285714285716
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04777777777777778
8,AIA,0.09863086419753088
8,BWT,-0.051125
8,Forgetting,0.055875
8,FWT,0.10025
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0448
9,AIA,0.09324777777777779
9,BWT,-0.044333333333333336
9,Forgetting,0.051666666666666666
9,FWT,0.09322222222222223
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.006
