task_idx,metric,value
0,A_t,0.24900000000000003
0,AIA,0.24900000000000003
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1405
1,AIA,0.19475000000000003
1,BWT,-0.07200000000000004
1,Forgetting,0.07200000000000004
1,FWT,0.24900000000000003
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11099999999999999
2,AIA,0.16683333333333336
2,BWT,-0.09300000000000003
2,Forgetting,0.09300000000000003
2,FWT,0.17650000000000002
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08549999999999999
3,AIA,0.14650000000000002
3,BWT,-0.06700000000000002
3,Forgetting,0.06700000000000002
3,FWT,0.17300000000000001
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0692
4,AIA,0.13104000000000002
4,BWT,-0.06125000000000002
4,Forgetting,0.06125000000000002
4,FWT,0.13575
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.0585
5,AIA,0.11895000000000001
5,BWT,-0.06260000000000002
5,Forgetting,0.06260000000000002
5,FWT,0.11820000000000001
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05542857142857143
6,AIA,0.10987551020408164
6,BWT,-0.04783333333333334
6,Forgetting,0.055333333333333345
6,FWT,0.11066666666666668
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.060000000000000005
7,AIA,0.10364107142857144
7,BWT,-0.04471428571428572
7,Forgetting,0.055285714285714306
7,FWT,0.09642857142857143
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04766666666666667
8,AIA,0.09742169312169313
8,BWT,-0.05025
8,Forgetting,0.059500000000000004
8,FWT,0.099125
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.048400000000000006
9,AIA,0.09251952380952382
9,BWT,-0.043222222222222224
9,Forgetting,0.053111111111111116
9,FWT,0.09233333333333334
9,RAG_mean,nan
9,Repetition_Gain,-0.08399999999999999
9,Anchor_Retention,nan
9,Long_Range_Retention,0.04
