task_idx,metric,value
0,A_t,0.23700000000000002
0,AIA,0.23700000000000002
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.10071428571428571
1,AIA,0.16885714285714287
1,BWT,-0.10700000000000001
1,Forgetting,0.10700000000000001
1,FWT,0.23700000000000002
1,RAG_mean,0.43333333333333335
1,Repetition_Gain,0.36190476190476195
2,A_t,0.06015873015873016
2,AIA,0.13262433862433864
2,BWT,-0.06754761904761905
2,Forgetting,0.06754761904761905
2,FWT,0.15421428571428572
2,RAG_mean,0.43333333333333335
2,Repetition_Gain,nan
3,A_t,0.04848214285714286
3,AIA,0.1115887896825397
3,BWT,-0.05102380952380953
3,Forgetting,0.05102380952380953
3,FWT,0.10519047619047618
3,RAG_mean,0.43333333333333335
3,Repetition_Gain,nan
4,A_t,0.032857142857142856
4,AIA,0.09584246031746033
4,BWT,-0.04925
4,Forgetting,0.04925
4,FWT,0.08675
4,RAG_mean,0.43333333333333335
4,Repetition_Gain,nan
5,A_t,0.02583333333333333
5,AIA,0.0841742724867725
5,BWT,-0.04125714285714287
5,Forgetting,0.04125714285714287
5,FWT,0.07225714285714285
5,RAG_mean,0.43333333333333335
5,Repetition_Gain,nan
6,A_t,0.03612244897959183
6,AIA,0.07730972627146097
6,BWT,-0.03330952380952382
6,Forgetting,0.03330952380952382
6,FWT,0.06021428571428571
6,RAG_mean,0.43333333333333335
6,Repetition_Gain,nan
7,A_t,0.02015625
7,AIA,0.07016554173752834
7,BWT,-0.04306632653061225
7,Forgetting,0.04306632653061225
7,FWT,0.0646734693877551
7,RAG_mean,0.43333333333333335
7,Repetition_Gain,nan
8,A_t,0.017724867724867727
8,AIA,0.06433880018056605
8,BWT,-0.038255952380952384
8,Forgetting,0.038255952380952384
8,FWT,0.05783928571428572
8,RAG_mean,0.43333333333333335
8,Repetition_Gain,nan
9,A_t,0.017114285714285714
9,AIA,0.05961634873393802
9,BWT,-0.033507936507936514
9,Forgetting,0.033507936507936514
9,FWT,0.05173015873015873
9,RAG_mean,0.43333333333333335
9,Repetition_Gain,nan
9,Anchor_Retention,0.5466666666666666
9,Long_Range_Retention,0.16399999999999998
