task_idx,metric,value
0,A_t,0.25
0,AIA,0.25
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.11850000000000001
1,AIA,0.18425
1,BWT,-0.04299999999999998
1,Forgetting,0.04299999999999998
1,FWT,0.25
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.08866666666666667
2,AIA,0.15238888888888888
2,BWT,-0.08049999999999999
2,Forgetting,0.08049999999999999
2,FWT,0.13999999999999999
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.0635
3,AIA,0.13016666666666665
3,BWT,-0.07033333333333333
3,Forgetting,0.07033333333333333
3,FWT,0.14233333333333334
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0606
4,AIA,0.11625333333333332
4,BWT,-0.05425000000000001
4,Forgetting,0.05425000000000001
4,FWT,0.11624999999999999
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.05133333333333334
5,AIA,0.10543333333333332
5,BWT,-0.0486
5,Forgetting,0.0514
5,FWT,0.10400000000000001
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.047714285714285716
6,AIA,0.09718775510204081
6,BWT,-0.03983333333333334
6,Forgetting,0.04616666666666667
6,FWT,0.09183333333333334
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.044125000000000004
7,AIA,0.0905549107142857
7,BWT,-0.03557142857142857
7,Forgetting,0.042285714285714295
7,FWT,0.08185714285714286
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.03988888888888889
8,AIA,0.08492535273368605
8,BWT,-0.03300000000000001
8,Forgetting,0.040875
8,FWT,0.07525
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.036800000000000006
9,AIA,0.08011281746031745
9,BWT,-0.030555555555555558
9,Forgetting,0.03855555555555556
9,FWT,0.06922222222222223
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.06499999999999999
