task_idx,metric,value
0,A_t,0.24699999999999997
0,AIA,0.24699999999999997
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1255
1,AIA,0.18624999999999997
1,BWT,-0.05999999999999997
1,Forgetting,0.05999999999999997
1,FWT,0.24699999999999997
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11099999999999999
2,AIA,0.16116666666666665
2,BWT,-0.0485
2,Forgetting,0.0485
2,FWT,0.1555
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08975
3,AIA,0.14331249999999998
3,BWT,-0.02900000000000001
3,Forgetting,0.03266666666666667
3,FWT,0.14333333333333334
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07000000000000002
4,AIA,0.12865
4,BWT,-0.03099999999999999
4,Forgetting,0.036749999999999984
4,FWT,0.1115
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.055500000000000015
5,AIA,0.11645833333333333
5,BWT,-0.043399999999999994
5,Forgetting,0.04819999999999999
5,FWT,0.09480000000000001
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.053
6,AIA,0.10739285714285715
6,BWT,-0.032666666666666656
6,Forgetting,0.039333333333333324
6,FWT,0.09166666666666667
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.04825
7,AIA,0.09999999999999999
7,BWT,-0.039428571428571424
7,Forgetting,0.04514285714285714
7,FWT,0.081
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04622222222222223
8,AIA,0.09402469135802469
8,BWT,-0.032374999999999994
8,Forgetting,0.04024999999999999
8,FWT,0.08275
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.017728571428571427
9,AIA,0.08639507936507937
9,BWT,-0.05577777777777778
9,Forgetting,0.06277777777777778
9,FWT,0.07500000000000001
9,RAG_mean,0.5766666666666667
9,Repetition_Gain,0.5723809523809523
9,Anchor_Retention,nan
9,Long_Range_Retention,0.173
