task_idx,metric,value
0,A_t,0.26399999999999996
0,AIA,0.26399999999999996
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1375
1,AIA,0.20074999999999998
1,BWT,-0.05799999999999991
1,Forgetting,0.05799999999999991
1,FWT,0.26399999999999996
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10500000000000002
2,AIA,0.1688333333333333
2,BWT,-0.06299999999999997
2,Forgetting,0.06299999999999997
2,FWT,0.16649999999999998
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.082
3,AIA,0.14712499999999998
3,BWT,-0.05199999999999999
3,Forgetting,0.05199999999999999
3,FWT,0.147
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0826
4,AIA,0.13421999999999998
4,BWT,-0.04124999999999998
4,Forgetting,0.04124999999999998
4,FWT,0.12099999999999998
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.07916666666666668
5,AIA,0.12504444444444443
5,BWT,-0.049399999999999986
5,Forgetting,0.049399999999999986
5,FWT,0.1156
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06085714285714285
6,AIA,0.11587482993197278
6,BWT,-0.052166666666666674
6,Forgetting,0.05516666666666667
6,FWT,0.12033333333333333
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.061
7,AIA,0.10901547619047619
7,BWT,-0.051142857142857136
7,Forgetting,0.05985714285714283
7,FWT,0.10557142857142857
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05355555555555555
8,AIA,0.10285326278659612
8,BWT,-0.047624999999999994
8,Forgetting,0.056374999999999995
8,FWT,0.10575
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.047200000000000006
9,AIA,0.09728793650793652
9,BWT,-0.04388888888888889
9,Forgetting,0.05166666666666666
9,FWT,0.09588888888888888
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.022
