task_idx,metric,value
0,A_t,0.24
0,AIA,0.24
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.121
1,AIA,0.1805
1,BWT,-0.04999999999999999
1,Forgetting,0.04999999999999999
1,FWT,0.24
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.09999999999999999
2,AIA,0.15366666666666665
2,BWT,-0.079
2,Forgetting,0.079
2,FWT,0.146
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.07325
3,AIA,0.1335625
3,BWT,-0.07166666666666667
3,Forgetting,0.07166666666666667
3,FWT,0.15266666666666664
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0636
4,AIA,0.11957
4,BWT,-0.061750000000000006
4,Forgetting,0.061750000000000006
4,FWT,0.127
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.05716666666666667
5,AIA,0.10916944444444444
5,BWT,-0.0558
5,Forgetting,0.05700000000000001
5,FWT,0.11300000000000002
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.053285714285714304
6,AIA,0.10118605442176871
6,BWT,-0.04566666666666667
6,Forgetting,0.055
6,FWT,0.10366666666666668
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.048625
7,AIA,0.09461592261904762
7,BWT,-0.04057142857142858
7,Forgetting,0.05057142857142859
7,FWT,0.09242857142857144
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04611111111111112
8,AIA,0.08922649911816578
8,BWT,-0.034999999999999996
8,Forgetting,0.04625
8,FWT,0.084125
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0427
9,AIA,0.08457384920634921
9,BWT,-0.030222222222222223
9,Forgetting,0.04055555555555555
9,FWT,0.07722222222222223
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.046
