task_idx,metric,value
0,A_t,0.246
0,AIA,0.246
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14
1,AIA,0.193
1,BWT,-0.055999999999999994
1,Forgetting,0.055999999999999994
1,FWT,0.246
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11366666666666668
2,AIA,0.16655555555555557
2,BWT,-0.06249999999999999
2,Forgetting,0.06249999999999999
2,FWT,0.16799999999999998
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.09250000000000001
3,AIA,0.14804166666666668
3,BWT,-0.03799999999999999
3,Forgetting,0.03899999999999999
3,FWT,0.15533333333333332
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0722
4,AIA,0.13287333333333334
4,BWT,-0.035750000000000004
4,Forgetting,0.03875000000000001
4,FWT,0.121
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.0545
5,AIA,0.11981111111111113
5,BWT,-0.05179999999999999
5,Forgetting,0.05419999999999999
5,FWT,0.1008
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.052142857142857144
6,AIA,0.11014421768707484
6,BWT,-0.03983333333333333
6,Forgetting,0.042666666666666665
6,FWT,0.09766666666666667
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.050375
7,AIA,0.10267306547619048
7,BWT,-0.04414285714285715
7,Forgetting,0.047
7,FWT,0.08628571428571429
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.0468888888888889
8,AIA,0.09647482363315697
8,BWT,-0.03862499999999999
8,Forgetting,0.043125
8,FWT,0.089
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.039900000000000005
9,AIA,0.09081734126984128
9,BWT,-0.037111111111111116
9,Forgetting,0.042333333333333334
9,FWT,0.08122222222222222
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.01
