task_idx,metric,value
0,A_t,0.23200000000000004
0,AIA,0.23200000000000004
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.111
1,AIA,0.1715
1,BWT,-0.02500000000000005
1,Forgetting,0.02500000000000005
1,FWT,0.23200000000000004
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.09233333333333334
2,AIA,0.1451111111111111
2,BWT,-0.05750000000000002
2,Forgetting,0.05750000000000002
2,FWT,0.12350000000000003
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.0675
3,AIA,0.12570833333333334
3,BWT,-0.05466666666666669
3,Forgetting,0.05466666666666669
3,FWT,0.13066666666666668
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0612
4,AIA,0.11280666666666668
4,BWT,-0.04625000000000001
4,Forgetting,0.04625000000000001
4,FWT,0.10850000000000001
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.05333333333333334
5,AIA,0.10289444444444446
5,BWT,-0.042600000000000006
5,Forgetting,0.0442
5,FWT,0.09820000000000001
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.04742857142857143
6,AIA,0.09497074829931974
6,BWT,-0.036500000000000005
6,Forgetting,0.04083333333333334
6,FWT,0.08883333333333333
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.045125
7,AIA,0.08874002976190476
7,BWT,-0.03157142857142859
7,Forgetting,0.03714285714285716
7,FWT,0.07871428571428572
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.041777777777777775
8,AIA,0.08352200176366843
8,BWT,-0.02837500000000001
8,Forgetting,0.038125000000000006
8,FWT,0.07275000000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.038900000000000004
9,AIA,0.0790598015873016
9,BWT,-0.02522222222222223
9,Forgetting,0.03455555555555556
9,FWT,0.067
9,RAG_mean,nan
9,Repetition_Gain,-0.026000000000000002
9,Anchor_Retention,nan
9,Long_Range_Retention,0.048
