task_idx,metric,value
0,A_t,0.24200000000000005
0,AIA,0.24200000000000005
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.15157142857142858
1,AIA,0.1967857142857143
1,BWT,0.003999999999999948
1,Forgetting,0.0
1,FWT,0.24200000000000005
1,RAG_mean,0.049999999999999996
1,Repetition_Gain,0.05952380952380951
2,A_t,0.12825396825396826
2,AIA,0.17394179894179895
2,BWT,-0.037190476190476204
2,Forgetting,0.03919047619047618
2,FWT,0.1495714285714286
2,RAG_mean,0.049999999999999996
2,Repetition_Gain,nan
3,A_t,0.10267857142857144
3,AIA,0.15612599206349206
3,BWT,-0.07328571428571429
3,Forgetting,0.0746190476190476
3,FWT,0.15304761904761907
3,RAG_mean,0.049999999999999996
3,Repetition_Gain,nan
4,A_t,0.09651428571428572
4,AIA,0.14420365079365077
4,BWT,-0.07735714285714287
4,Forgetting,0.07835714285714286
4,FWT,0.15764285714285714
4,RAG_mean,0.049999999999999996
4,Repetition_Gain,nan
5,A_t,0.07656349206349207
5,AIA,0.132930291005291
5,BWT,-0.08623809523809525
5,Forgetting,0.08703809523809522
5,FWT,0.1584
5,RAG_mean,0.049999999999999996
5,Repetition_Gain,nan
6,A_t,0.08136734693877552
6,AIA,0.12556415613864594
6,BWT,-0.10254761904761907
6,Forgetting,0.1032142857142857
6,FWT,0.14842857142857144
6,RAG_mean,0.049999999999999996
6,Repetition_Gain,nan
7,A_t,0.07411160714285714
7,AIA,0.11913258751417236
7,BWT,-0.107015306122449
7,Forgetting,0.10758673469387757
7,FWT,0.16926530612244897
7,RAG_mean,0.049999999999999996
7,Repetition_Gain,nan
8,A_t,0.06765432098765432
8,AIA,0.11341278012233702
8,BWT,-0.1111031746031746
8,Forgetting,0.1116031746031746
8,FWT,0.16775
8,RAG_mean,0.049999999999999996
8,Repetition_Gain,nan
9,A_t,0.060814285714285723
9,AIA,0.1081529306815319
9,BWT,-0.1140793650793651
9,Forgetting,0.11452380952380954
9,FWT,0.16641269841269843
9,RAG_mean,0.049999999999999996
9,Repetition_Gain,nan
9,Anchor_Retention,0.03666666666666667
9,Long_Range_Retention,0.011
