task_idx,metric,value
0,A_t,0.242
0,AIA,0.242
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14749999999999996
1,AIA,0.19474999999999998
1,BWT,-0.08800000000000002
1,Forgetting,0.08800000000000002
1,FWT,0.242
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11833333333333333
2,AIA,0.16927777777777775
2,BWT,-0.10599999999999998
2,Forgetting,0.10599999999999998
2,FWT,0.1915
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08499999999999999
3,AIA,0.1482083333333333
3,BWT,-0.11366666666666665
3,Forgetting,0.11366666666666665
3,FWT,0.18899999999999997
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07039999999999999
4,AIA,0.13264666666666663
4,BWT,-0.11249999999999998
4,Forgetting,0.11249999999999998
4,FWT,0.17024999999999998
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.0665
5,AIA,0.1216222222222222
5,BWT,-0.11299999999999999
5,Forgetting,0.11299999999999999
5,FWT,0.1604
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06128571428571429
6,AIA,0.11300272108843536
6,BWT,-0.11649999999999998
6,Forgetting,0.11649999999999998
6,FWT,0.16066666666666665
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.053750000000000006
7,AIA,0.10559613095238095
7,BWT,-0.12314285714285714
7,Forgetting,0.12314285714285714
7,FWT,0.16114285714285712
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04922222222222223
8,AIA,0.09933236331569666
8,BWT,-0.122125
8,Forgetting,0.122125
8,FWT,0.1615
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.045200000000000004
9,AIA,0.093919126984127
9,BWT,-0.12544444444444441
9,Forgetting,0.12544444444444441
9,FWT,0.1577777777777778
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.0
