task_idx,metric,value
0,A_t,0.266
0,AIA,0.266
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.15800000000000003
1,AIA,0.21200000000000002
1,BWT,-0.055999999999999994
1,Forgetting,0.055999999999999994
1,FWT,0.266
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11
2,AIA,0.17800000000000002
2,BWT,-0.12050000000000001
2,Forgetting,0.12050000000000001
2,FWT,0.186
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08825
3,AIA,0.1555625
3,BWT,-0.10933333333333335
3,Forgetting,0.10933333333333335
3,FWT,0.19033333333333333
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0712
4,AIA,0.13869
4,BWT,-0.10800000000000001
4,Forgetting,0.10800000000000001
4,FWT,0.17024999999999998
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06683333333333334
5,AIA,0.12671388888888888
5,BWT,-0.1044
5,Forgetting,0.1044
5,FWT,0.1576
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05928571428571428
6,AIA,0.1170812925170068
6,BWT,-0.11750000000000001
6,Forgetting,0.11750000000000001
6,FWT,0.15383333333333332
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.054625
7,AIA,0.10927425595238095
7,BWT,-0.11657142857142859
7,Forgetting,0.11657142857142859
7,FWT,0.15999999999999998
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04911111111111111
8,AIA,0.10258946208112875
8,BWT,-0.11837500000000001
8,Forgetting,0.11837500000000001
8,FWT,0.15662500000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.05001428571428572
9,AIA,0.09733194444444444
9,BWT,-0.10955555555555557
9,Forgetting,0.10955555555555557
9,FWT,0.15433333333333335
9,RAG_mean,-0.033333333333333326
9,Repetition_Gain,-0.043809523809523826
9,Anchor_Retention,nan
9,Long_Range_Retention,0.016000000000000004
