task_idx,metric,value
0,A_t,0.24100000000000002
0,AIA,0.24100000000000002
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14649999999999996
1,AIA,0.19374999999999998
1,BWT,-0.08600000000000005
1,Forgetting,0.08600000000000005
1,FWT,0.24100000000000002
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11666666666666665
2,AIA,0.16805555555555554
2,BWT,-0.10700000000000001
2,Forgetting,0.10700000000000001
2,FWT,0.1895
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08625
3,AIA,0.14760416666666665
3,BWT,-0.11099999999999999
3,Forgetting,0.11099999999999999
3,FWT,0.18800000000000003
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0708
4,AIA,0.13224333333333332
4,BWT,-0.11149999999999999
4,Forgetting,0.11149999999999999
4,FWT,0.1695
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06683333333333334
5,AIA,0.12134166666666664
5,BWT,-0.11239999999999999
5,Forgetting,0.11239999999999999
5,FWT,0.16
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06071428571428572
6,AIA,0.11268061224489793
6,BWT,-0.11699999999999999
6,Forgetting,0.11699999999999999
6,FWT,0.1605
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.053750000000000006
7,AIA,0.10531428571428571
7,BWT,-0.123
7,Forgetting,0.123
7,FWT,0.161
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04911111111111112
8,AIA,0.0990694885361552
8,BWT,-0.122125
8,Forgetting,0.122125
8,FWT,0.161375
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0469
9,AIA,0.09385253968253968
9,BWT,-0.11566666666666665
9,Forgetting,0.11566666666666665
9,FWT,0.15766666666666668
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.0
