task_idx,metric,value
0,A_t,0.276
0,AIA,0.276
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14950000000000002
1,AIA,0.21275000000000002
1,BWT,-0.07800000000000001
1,Forgetting,0.07800000000000001
1,FWT,0.276
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.12266666666666669
2,AIA,0.18272222222222223
2,BWT,-0.1
2,Forgetting,0.1
2,FWT,0.18850000000000003
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.09675000000000002
3,AIA,0.16122916666666667
3,BWT,-0.08633333333333333
3,Forgetting,0.08633333333333333
3,FWT,0.18933333333333335
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.081
4,AIA,0.14518333333333333
4,BWT,-0.097
4,Forgetting,0.097
4,FWT,0.1615
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.07133333333333335
5,AIA,0.132875
5,BWT,-0.1046
5,Forgetting,0.1046
5,FWT,0.15860000000000002
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.061571428571428576
6,AIA,0.12268877551020409
6,BWT,-0.10883333333333334
6,Forgetting,0.10883333333333334
6,FWT,0.1585
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05525000000000001
7,AIA,0.1142589285714286
7,BWT,-0.11642857142857144
7,Forgetting,0.11642857142857144
7,FWT,0.15485714285714286
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04800000000000001
8,AIA,0.10689682539682542
8,BWT,-0.11625
8,Forgetting,0.11625
8,FWT,0.15712500000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.046200000000000005
9,AIA,0.10082714285714287
9,BWT,-0.1088888888888889
9,Forgetting,0.1088888888888889
9,FWT,0.15133333333333335
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.002
