task_idx,metric,value
0,A_t,0.28300000000000003
0,AIA,0.28300000000000003
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.15750000000000003
1,AIA,0.22025000000000003
1,BWT,-0.09400000000000003
1,Forgetting,0.09400000000000003
1,FWT,0.28300000000000003
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11633333333333334
2,AIA,0.18561111111111114
2,BWT,-0.1265
2,Forgetting,0.1265
2,FWT,0.20450000000000002
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08625
3,AIA,0.16077083333333336
3,BWT,-0.11633333333333336
3,Forgetting,0.11633333333333336
3,FWT,0.2006666666666667
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0678
4,AIA,0.14217666666666667
4,BWT,-0.11374999999999999
4,Forgetting,0.11374999999999999
4,FWT,0.17350000000000002
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06433333333333334
5,AIA,0.1292027777777778
5,BWT,-0.1066
5,Forgetting,0.1066
5,FWT,0.1588
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05657142857142857
6,AIA,0.11882687074829934
6,BWT,-0.12133333333333333
6,Forgetting,0.12133333333333333
6,FWT,0.15316666666666667
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.0515
7,AIA,0.11041101190476192
7,BWT,-0.12142857142857143
7,Forgetting,0.12142857142857143
7,FWT,0.1605714285714286
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04633333333333334
8,AIA,0.10329126984126985
8,BWT,-0.12287500000000001
8,Forgetting,0.12287500000000001
8,FWT,0.15775
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.039
9,AIA,0.09686214285714287
9,BWT,-0.12422222222222223
9,Forgetting,0.12422222222222223
9,FWT,0.15555555555555556
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.0
