task_idx,metric,value
0,A_t,0.254
0,AIA,0.254
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.15050000000000002
1,AIA,0.20225
1,BWT,-0.059
1,Forgetting,0.059
1,FWT,0.254
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11399999999999999
2,AIA,0.1728333333333333
2,BWT,-0.0995
2,Forgetting,0.0995
2,FWT,0.18
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.09050000000000001
3,AIA,0.15225
3,BWT,-0.08566666666666667
3,Forgetting,0.08566666666666667
3,FWT,0.18033333333333332
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.06939999999999999
4,AIA,0.13568
4,BWT,-0.09600000000000002
4,Forgetting,0.09600000000000002
4,FWT,0.15474999999999997
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06633333333333334
5,AIA,0.12412222222222223
5,BWT,-0.0998
5,Forgetting,0.0998
5,FWT,0.14619999999999997
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06157142857142857
6,AIA,0.11518639455782313
6,BWT,-0.10799999999999998
6,Forgetting,0.10799999999999998
6,FWT,0.14949999999999997
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05550000000000001
7,AIA,0.10772559523809523
7,BWT,-0.1127142857142857
7,Forgetting,0.1127142857142857
7,FWT,0.1541428571428571
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04877777777777778
8,AIA,0.10117583774250441
8,BWT,-0.11299999999999999
8,Forgetting,0.11299999999999999
8,FWT,0.154125
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0466
9,AIA,0.09571825396825397
9,BWT,-0.1121111111111111
9,Forgetting,0.1121111111111111
9,FWT,0.14922222222222226
9,RAG_mean,nan
9,Repetition_Gain,-0.064
9,Anchor_Retention,nan
9,Long_Range_Retention,0.0
