task_idx,metric,value
0,A_t,0.23600000000000004
0,AIA,0.23600000000000004
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.09821428571428573
1,AIA,0.1671071428571429
1,BWT,-0.10100000000000003
1,Forgetting,0.10100000000000003
1,FWT,0.23600000000000004
1,RAG_mean,0.45
1,Repetition_Gain,0.38857142857142857
2,A_t,0.05095238095238095
2,AIA,0.1283888888888889
2,BWT,-0.07371428571428573
2,Forgetting,0.07371428571428573
2,FWT,0.14871428571428574
2,RAG_mean,0.45
2,Repetition_Gain,nan
3,A_t,0.048214285714285716
3,AIA,0.10834523809523812
3,BWT,-0.043428571428571434
3,Forgetting,0.043428571428571434
3,FWT,0.10009523809523811
3,RAG_mean,0.45
3,Repetition_Gain,nan
4,A_t,0.03331428571428571
4,AIA,0.09333904761904763
4,BWT,-0.041285714285714294
4,Forgetting,0.041285714285714294
4,FWT,0.0807857142857143
4,RAG_mean,0.45
4,Repetition_Gain,nan
5,A_t,0.026388888888888892
5,AIA,0.08218068783068784
5,BWT,-0.03467619047619048
5,Forgetting,0.03467619047619048
5,FWT,0.06634285714285715
5,RAG_mean,0.45
5,Repetition_Gain,nan
6,A_t,0.032857142857142856
6,AIA,0.07513446712018142
6,BWT,-0.028857142857142862
6,Forgetting,0.028857142857142862
6,FWT,0.05528571428571429
6,RAG_mean,0.45
6,Repetition_Gain,nan
7,A_t,0.021696428571428568
7,AIA,0.06845471230158731
7,BWT,-0.03402040816326531
7,Forgetting,0.03402040816326531
7,FWT,0.057591836734693876
7,RAG_mean,0.45
7,Repetition_Gain,nan
8,A_t,0.018553791887125217
8,AIA,0.0629101655888693
8,BWT,-0.030769841269841277
8,Forgetting,0.030769841269841277
8,FWT,0.05146428571428572
8,RAG_mean,0.45
8,Repetition_Gain,nan
9,A_t,0.01902857142857143
9,AIA,0.058522006172839515
9,BWT,-0.027460317460317463
9,Forgetting,0.027460317460317463
9,FWT,0.045904761904761913
9,RAG_mean,0.45
9,Repetition_Gain,nan
9,Anchor_Retention,0.5533333333333333
9,Long_Range_Retention,0.166
