task_idx,metric,value
0,A_t,0.267
0,AIA,0.267
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.133
1,AIA,0.2
1,BWT,-0.055999999999999994
1,Forgetting,0.055999999999999994
1,FWT,0.267
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10866666666666665
2,AIA,0.16955555555555557
2,BWT,-0.07950000000000002
2,Forgetting,0.07950000000000002
2,FWT,0.161
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08125
3,AIA,0.1474791666666667
3,BWT,-0.06466666666666668
3,Forgetting,0.06466666666666668
3,FWT,0.16166666666666665
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0746
4,AIA,0.13290333333333335
4,BWT,-0.05950000000000001
4,Forgetting,0.05950000000000001
4,FWT,0.12975
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.07050000000000001
5,AIA,0.1225027777777778
5,BWT,-0.059
5,Forgetting,0.059
5,FWT,0.1222
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06257142857142857
6,AIA,0.11394115646258506
6,BWT,-0.054333333333333324
6,Forgetting,0.054333333333333324
6,FWT,0.11966666666666666
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.0575
7,AIA,0.10688601190476191
7,BWT,-0.05414285714285714
7,Forgetting,0.05414285714285714
7,FWT,0.10914285714285714
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05633333333333333
8,AIA,0.10126904761904762
8,BWT,-0.04637500000000001
8,Forgetting,0.04975000000000001
8,FWT,0.104875
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0467
9,AIA,0.09581214285714286
9,BWT,-0.05355555555555555
9,Forgetting,0.05655555555555555
9,FWT,0.09755555555555556
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.075
