task_idx,metric,value
0,A_t,0.254
0,AIA,0.254
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1225
1,AIA,0.18825
1,BWT,-0.065
1,Forgetting,0.065
1,FWT,0.254
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.09900000000000002
2,AIA,0.1585
2,BWT,-0.05650000000000001
2,Forgetting,0.05650000000000001
2,FWT,0.155
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.077
3,AIA,0.138125
3,BWT,-0.046000000000000006
3,Forgetting,0.046000000000000006
3,FWT,0.1366666666666667
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0756
4,AIA,0.12562
4,BWT,-0.044000000000000004
4,Forgetting,0.045500000000000006
4,FWT,0.1115
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06716666666666667
5,AIA,0.11587777777777779
5,BWT,-0.055400000000000005
5,Forgetting,0.056600000000000004
5,FWT,0.11080000000000001
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05942857142857143
6,AIA,0.10781360544217687
6,BWT,-0.055000000000000014
6,Forgetting,0.058
6,FWT,0.11333333333333334
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05737500000000001
7,AIA,0.10150877976190475
7,BWT,-0.05271428571428572
7,Forgetting,0.055285714285714285
7,FWT,0.10657142857142858
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04533333333333334
8,AIA,0.09526706349206349
8,BWT,-0.05475000000000001
8,Forgetting,0.059500000000000004
8,FWT,0.10350000000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.015585714285714283
9,AIA,0.08729892857142857
9,BWT,-0.07700000000000001
9,Forgetting,0.08122222222222224
9,FWT,0.09400000000000001
9,RAG_mean,0.5033333333333333
9,Repetition_Gain,0.507142857142857
9,Anchor_Retention,nan
9,Long_Range_Retention,0.15299999999999997
