task_idx,metric,value
0,A_t,0.28700000000000003
0,AIA,0.28700000000000003
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1325
1,AIA,0.20975000000000002
1,BWT,-0.09300000000000003
1,Forgetting,0.09300000000000003
1,FWT,0.28700000000000003
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10266666666666667
2,AIA,0.17405555555555555
2,BWT,-0.07750000000000003
2,Forgetting,0.07750000000000003
2,FWT,0.17900000000000002
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08025000000000002
3,AIA,0.15060416666666668
3,BWT,-0.06000000000000002
3,Forgetting,0.06033333333333335
3,FWT,0.15433333333333335
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0772
4,AIA,0.13592333333333334
4,BWT,-0.05475000000000001
4,Forgetting,0.05725000000000001
4,FWT,0.12525000000000003
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06849999999999999
5,AIA,0.12468611111111112
5,BWT,-0.06520000000000001
5,Forgetting,0.06720000000000001
5,FWT,0.12100000000000002
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06028571428571429
6,AIA,0.11548605442176872
6,BWT,-0.06300000000000001
6,Forgetting,0.06683333333333334
6,FWT,0.12283333333333335
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05687500000000001
7,AIA,0.10815967261904763
7,BWT,-0.06357142857142858
7,Forgetting,0.06700000000000002
7,FWT,0.1142857142857143
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04544444444444445
8,AIA,0.1011913139329806
8,BWT,-0.065375
8,Forgetting,0.06975
8,FWT,0.11250000000000002
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0417
9,AIA,0.09524218253968254
9,BWT,-0.05744444444444446
9,Forgetting,0.06133333333333335
9,FWT,0.10355555555555557
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.06000000000000001
