task_idx,metric,value
0,A_t,0.266
0,AIA,0.266
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1395
1,AIA,0.20275
1,BWT,-0.11000000000000001
1,Forgetting,0.11000000000000001
1,FWT,0.266
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.111
2,AIA,0.1721666666666667
2,BWT,-0.097
2,Forgetting,0.097
2,FWT,0.1945
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08200000000000002
3,AIA,0.149625
3,BWT,-0.07933333333333334
3,Forgetting,0.07933333333333334
3,FWT,0.17566666666666667
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0736
4,AIA,0.13442
4,BWT,-0.07550000000000001
4,Forgetting,0.07800000000000001
4,FWT,0.14150000000000001
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06833333333333333
5,AIA,0.12340555555555556
5,BWT,-0.08680000000000002
5,Forgetting,0.08880000000000002
5,FWT,0.134
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.060428571428571436
6,AIA,0.11440884353741497
6,BWT,-0.08683333333333333
6,Forgetting,0.08850000000000001
6,FWT,0.1406666666666667
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.056874999999999995
7,AIA,0.1072171130952381
7,BWT,-0.08228571428571428
7,Forgetting,0.08371428571428571
7,FWT,0.13485714285714287
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04811111111111111
8,AIA,0.10064977954144622
8,BWT,-0.08049999999999999
8,Forgetting,0.083125
8,FWT,0.12887500000000002
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.043500000000000004
9,AIA,0.09493480158730158
9,BWT,-0.07133333333333333
9,Forgetting,0.07366666666666666
9,FWT,0.11966666666666669
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.008
