task_idx,metric,value
0,A_t,0.27899999999999997
0,AIA,0.27899999999999997
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.13299999999999998
1,AIA,0.20599999999999996
1,BWT,-0.088
1,Forgetting,0.088
1,FWT,0.27899999999999997
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10133333333333332
2,AIA,0.17111111111111107
2,BWT,-0.0775
2,Forgetting,0.0775
2,FWT,0.177
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.07975000000000002
3,AIA,0.1482708333333333
3,BWT,-0.05933333333333332
3,Forgetting,0.05933333333333332
3,FWT,0.153
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0744
4,AIA,0.13349666666666665
4,BWT,-0.04774999999999999
4,Forgetting,0.049499999999999995
4,FWT,0.12425
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.0665
5,AIA,0.12233055555555554
5,BWT,-0.05720000000000001
5,Forgetting,0.058600000000000006
5,FWT,0.11259999999999999
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.059428571428571435
6,AIA,0.11334455782312923
6,BWT,-0.05849999999999999
6,Forgetting,0.061
6,FWT,0.11416666666666665
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.0565
7,AIA,0.10623898809523807
7,BWT,-0.05785714285714284
7,Forgetting,0.060714285714285714
7,FWT,0.10957142857142856
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.046777777777777786
8,AIA,0.0996321869488536
8,BWT,-0.058499999999999996
8,Forgetting,0.062
8,FWT,0.107125
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.04660000000000001
9,AIA,0.09432896825396823
9,BWT,-0.051
9,Forgetting,0.05411111111111111
9,FWT,0.09877777777777778
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.008
