task_idx,metric,value
0,A_t,0.22599999999999998
0,AIA,0.22599999999999998
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.126
1,AIA,0.176
1,BWT,-0.023999999999999966
1,Forgetting,0.023999999999999966
1,FWT,0.22599999999999998
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10133333333333333
2,AIA,0.1511111111111111
2,BWT,-0.055999999999999994
2,Forgetting,0.055999999999999994
2,FWT,0.13799999999999998
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.0775
3,AIA,0.13270833333333332
3,BWT,-0.043333333333333335
3,Forgetting,0.043333333333333335
3,FWT,0.13866666666666666
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.06960000000000001
4,AIA,0.12008666666666665
4,BWT,-0.04075
4,Forgetting,0.04075
4,FWT,0.11
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06866666666666667
5,AIA,0.11151666666666665
5,BWT,-0.0398
5,Forgetting,0.039999999999999994
5,FWT,0.1022
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.060714285714285714
6,AIA,0.10425918367346938
6,BWT,-0.03966666666666666
6,Forgetting,0.040333333333333325
6,FWT,0.10183333333333333
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.0575
7,AIA,0.0984142857142857
7,BWT,-0.03957142857142857
7,Forgetting,0.04014285714285714
7,FWT,0.09471428571428572
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05244444444444444
8,AIA,0.09330652557319223
8,BWT,-0.038
8,Forgetting,0.041
8,FWT,0.09212499999999998
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.048600000000000004
9,AIA,0.08883587301587301
9,BWT,-0.03711111111111111
9,Forgetting,0.03977777777777777
9,FWT,0.08622222222222221
9,RAG_mean,nan
9,Repetition_Gain,-0.088
9,Anchor_Retention,nan
9,Long_Range_Retention,0.064
