task_idx,metric,value
0,A_t,0.25400000000000006
0,AIA,0.25400000000000006
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.16092857142857142
1,AIA,0.20746428571428574
1,BWT,-0.06500000000000009
1,Forgetting,0.06500000000000009
1,FWT,0.25400000000000006
1,RAG_mean,-4.625929269271485e-18
1,Repetition_Gain,-0.06619047619047617
2,A_t,0.13225396825396826
2,AIA,0.18239417989417991
2,BWT,-0.08719047619047621
2,Forgetting,0.08719047619047621
2,FWT,0.19342857142857145
2,RAG_mean,-4.625929269271485e-18
2,Repetition_Gain,nan
3,A_t,0.109875
3,AIA,0.16426438492063494
3,BWT,-0.07864285714285714
3,Forgetting,0.07864285714285714
3,FWT,0.1903809523809524
3,RAG_mean,-4.625929269271485e-18
3,Repetition_Gain,nan
4,A_t,0.09174285714285715
4,AIA,0.14976007936507937
4,BWT,-0.07596428571428572
4,Forgetting,0.07596428571428572
4,FWT,0.16885714285714287
4,RAG_mean,-4.625929269271485e-18
4,Repetition_Gain,nan
5,A_t,0.08319047619047619
5,AIA,0.1386651455026455
5,BWT,-0.07268571428571428
5,Forgetting,0.07268571428571428
5,FWT,0.15251428571428574
5,RAG_mean,-4.625929269271485e-18
5,Repetition_Gain,nan
6,A_t,0.08255102040816327
6,AIA,0.13064884191771947
6,BWT,-0.08602380952380952
6,Forgetting,0.08602380952380952
6,FWT,0.14376190476190479
6,RAG_mean,-4.625929269271485e-18
6,Repetition_Gain,nan
7,A_t,0.07563839285714286
7,AIA,0.12377253578514741
7,BWT,-0.07963775510204082
7,Forgetting,0.07963775510204082
7,FWT,0.1562857142857143
7,RAG_mean,-4.625929269271485e-18
7,Repetition_Gain,nan
8,A_t,0.06731922398589066
8,AIA,0.11749994558522998
8,BWT,-0.07298015873015873
8,Forgetting,0.07298015873015873
8,FWT,0.1453214285714286
8,RAG_mean,-4.625929269271485e-18
8,Repetition_Gain,nan
9,A_t,0.06564285714285714
9,AIA,0.1123142367409927
9,BWT,-0.07401587301587302
9,Forgetting,0.07401587301587302
9,FWT,0.13219047619047622
9,RAG_mean,-4.625929269271485e-18
9,Repetition_Gain,nan
9,Anchor_Retention,0.023333333333333334
9,Long_Range_Retention,0.05500000000000001
