task_idx,metric,value
0,A_t,0.26399999999999996
0,AIA,0.26399999999999996
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.15249999999999997
1,AIA,0.20824999999999996
1,BWT,-0.11499999999999999
1,Forgetting,0.11499999999999999
1,FWT,0.26399999999999996
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11066666666666668
2,AIA,0.1757222222222222
2,BWT,-0.10899999999999996
2,Forgetting,0.10899999999999996
2,FWT,0.20999999999999996
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.0835
3,AIA,0.15266666666666664
3,BWT,-0.08966666666666663
3,Forgetting,0.08966666666666663
3,FWT,0.18333333333333332
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0754
4,AIA,0.13721333333333333
4,BWT,-0.088
4,Forgetting,0.088
4,FWT,0.15075
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.07216666666666668
5,AIA,0.12637222222222222
5,BWT,-0.0784
5,Forgetting,0.0784
5,FWT,0.14579999999999999
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06642857142857143
6,AIA,0.11780884353741496
6,BWT,-0.0725
6,Forgetting,0.0725
6,FWT,0.13749999999999998
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.06175
7,AIA,0.11080148809523808
7,BWT,-0.07157142857142855
7,Forgetting,0.07157142857142855
7,FWT,0.12857142857142856
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05577777777777778
8,AIA,0.10468774250440917
8,BWT,-0.06575
8,Forgetting,0.06575
8,FWT,0.12437499999999999
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.052500000000000005
9,AIA,0.09946896825396825
9,BWT,-0.06588888888888889
9,Forgetting,0.06588888888888889
9,FWT,0.1142222222222222
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.038
