task_idx,metric,value
0,A_t,0.22599999999999998
0,AIA,0.22599999999999998
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.132
1,AIA,0.179
1,BWT,-0.08299999999999996
1,Forgetting,0.08299999999999996
1,FWT,0.22599999999999998
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11166666666666668
2,AIA,0.15655555555555556
2,BWT,-0.07349999999999998
2,Forgetting,0.07349999999999998
2,FWT,0.1735
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08700000000000001
3,AIA,0.13916666666666666
3,BWT,-0.062
3,Forgetting,0.062
3,FWT,0.16066666666666665
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.072
4,AIA,0.1257333333333333
4,BWT,-0.07350000000000001
4,Forgetting,0.07350000000000001
4,FWT,0.1335
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06616666666666667
5,AIA,0.11580555555555555
5,BWT,-0.06680000000000001
5,Forgetting,0.06680000000000001
5,FWT,0.1308
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.060571428571428575
6,AIA,0.10791496598639456
6,BWT,-0.061333333333333344
6,Forgetting,0.061333333333333344
6,FWT,0.12183333333333334
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.053250000000000006
7,AIA,0.10108184523809524
7,BWT,-0.05714285714285715
7,Forgetting,0.05714285714285715
7,FWT,0.11314285714285714
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04733333333333333
8,AIA,0.09510978835978837
8,BWT,-0.05575
8,Forgetting,0.05575
8,FWT,0.10325000000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0458
9,AIA,0.09017880952380952
9,BWT,-0.053777777777777785
9,Forgetting,0.053777777777777785
9,FWT,0.0968888888888889
9,RAG_mean,-0.07666666666666667
9,Repetition_Gain,-0.0666666666666667
9,Anchor_Retention,nan
9,Long_Range_Retention,0.026000000000000002
