task_idx,metric,value
0,A_t,0.227
0,AIA,0.227
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.134
1,AIA,0.1805
1,BWT,-0.08200000000000002
1,Forgetting,0.08200000000000002
1,FWT,0.227
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11233333333333334
2,AIA,0.15777777777777777
2,BWT,-0.07199999999999998
2,Forgetting,0.07199999999999998
2,FWT,0.175
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08675000000000001
3,AIA,0.14002083333333334
3,BWT,-0.06366666666666666
3,Forgetting,0.06366666666666666
3,FWT,0.16033333333333333
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.071
4,AIA,0.12621666666666667
4,BWT,-0.07700000000000001
4,Forgetting,0.07700000000000001
4,FWT,0.1345
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06366666666666668
5,AIA,0.11579166666666667
5,BWT,-0.0716
5,Forgetting,0.0716
5,FWT,0.1326
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.057857142857142864
6,AIA,0.10751530612244897
6,BWT,-0.06666666666666667
6,Forgetting,0.06666666666666667
6,FWT,0.12333333333333334
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.051625000000000004
7,AIA,0.10052901785714285
7,BWT,-0.06214285714285715
7,Forgetting,0.06214285714285715
7,FWT,0.11499999999999999
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04666666666666666
8,AIA,0.09454431216931217
8,BWT,-0.059375000000000004
8,Forgetting,0.059375000000000004
8,FWT,0.10600000000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0421
9,AIA,0.08929988095238095
9,BWT,-0.05366666666666667
9,Forgetting,0.05366666666666667
9,FWT,0.09944444444444446
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.015
