task_idx,metric,value
0,A_t,0.22600000000000003
0,AIA,0.22600000000000003
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.128
1,AIA,0.17700000000000002
1,BWT,-0.06800000000000003
1,Forgetting,0.06800000000000003
1,FWT,0.22600000000000003
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10833333333333334
2,AIA,0.15411111111111112
2,BWT,-0.06450000000000003
2,Forgetting,0.06450000000000003
2,FWT,0.16200000000000003
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.083
3,AIA,0.13633333333333333
3,BWT,-0.06033333333333335
3,Forgetting,0.06033333333333335
3,FWT,0.15133333333333335
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0718
4,AIA,0.12342666666666666
4,BWT,-0.07075000000000001
4,Forgetting,0.07075000000000001
4,FWT,0.12825000000000003
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.061333333333333344
5,AIA,0.11307777777777778
5,BWT,-0.06799999999999999
5,Forgetting,0.06799999999999999
5,FWT,0.12840000000000001
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05557142857142857
6,AIA,0.1048625850340136
6,BWT,-0.063
6,Forgetting,0.063
6,FWT,0.11800000000000004
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.04912500000000001
7,AIA,0.09789538690476192
7,BWT,-0.05714285714285715
7,Forgetting,0.05714285714285715
7,FWT,0.10957142857142858
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.043666666666666666
8,AIA,0.09186997354497356
8,BWT,-0.055125
8,Forgetting,0.05525
8,FWT,0.09912500000000002
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0397
9,AIA,0.0866529761904762
9,BWT,-0.05011111111111111
9,Forgetting,0.050222222222222224
9,FWT,0.09266666666666669
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.022
