task_idx,metric,value
0,A_t,0.26399999999999996
0,AIA,0.26399999999999996
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.15249999999999997
1,AIA,0.20824999999999996
1,BWT,-0.11499999999999999
1,Forgetting,0.11499999999999999
1,FWT,0.26399999999999996
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11066666666666668
2,AIA,0.1757222222222222
2,BWT,-0.10899999999999996
2,Forgetting,0.10899999999999996
2,FWT,0.20999999999999996
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.0835
3,AIA,0.15266666666666664
3,BWT,-0.08966666666666663
3,Forgetting,0.08966666666666663
3,FWT,0.18333333333333332
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07239999999999999
4,AIA,0.1366133333333333
4,BWT,-0.08925
4,Forgetting,0.08925
4,FWT,0.15075
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.07033333333333334
5,AIA,0.12556666666666666
5,BWT,-0.0814
5,Forgetting,0.0814
5,FWT,0.14379999999999998
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.0642857142857143
6,AIA,0.11681224489795917
6,BWT,-0.07233333333333332
6,Forgetting,0.07233333333333332
6,FWT,0.13816666666666666
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05975000000000001
7,AIA,0.10967946428571428
7,BWT,-0.07057142857142858
7,Forgetting,0.07057142857142858
7,FWT,0.12628571428571428
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.053666666666666675
8,AIA,0.10345582010582009
8,BWT,-0.064125
8,Forgetting,0.064125
8,FWT,0.1215
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.04890000000000001
9,AIA,0.09800023809523808
9,BWT,-0.058555555555555555
9,Forgetting,0.058555555555555555
9,FWT,0.11066666666666666
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.094
