task_idx,metric,value
0,A_t,0.258
0,AIA,0.258
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.151
1,AIA,0.20450000000000002
1,BWT,-0.10600000000000001
1,Forgetting,0.10600000000000001
1,FWT,0.258
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.11333333333333334
2,AIA,0.1741111111111111
2,BWT,-0.10049999999999999
2,Forgetting,0.10049999999999999
2,FWT,0.20400000000000001
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08700000000000001
3,AIA,0.15233333333333332
3,BWT,-0.085
3,Forgetting,0.085
3,FWT,0.18033333333333335
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0742
4,AIA,0.13670666666666667
4,BWT,-0.08925000000000002
4,Forgetting,0.08925000000000002
4,FWT,0.15075000000000002
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.0675
5,AIA,0.1251722222222222
5,BWT,-0.08619999999999998
5,Forgetting,0.08619999999999998
5,FWT,0.1456
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06699999999999999
6,AIA,0.11686190476190475
6,BWT,-0.079
6,Forgetting,0.079
6,FWT,0.13933333333333334
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.06325
7,AIA,0.11016041666666668
7,BWT,-0.07571428571428572
7,Forgetting,0.07571428571428572
7,FWT,0.13471428571428573
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05711111111111111
8,AIA,0.10426604938271605
8,BWT,-0.06975
8,Forgetting,0.06975
8,FWT,0.1295
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0533
9,AIA,0.09916944444444445
9,BWT,-0.06611111111111112
9,Forgetting,0.06611111111111112
9,FWT,0.11911111111111111
9,RAG_mean,nan
9,Repetition_Gain,0.031999999999999994
9,Anchor_Retention,nan
9,Long_Range_Retention,0.008
