task_idx,metric,value
0,A_t,0.298
0,AIA,0.298
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.2178571428571429
1,AIA,0.25792857142857145
1,BWT,-0.05799999999999994
1,Forgetting,0.05799999999999994
1,FWT,0.298
1,RAG_mean,0.0
1,Repetition_Gain,-0.19571428571428573
2,A_t,0.1867777777777778
2,AIA,0.23421164021164023
2,BWT,-0.09526190476190476
2,Forgetting,0.09526190476190476
2,FWT,0.24685714285714286
2,RAG_mean,0.0
2,Repetition_Gain,nan
3,A_t,0.16632142857142856
3,AIA,0.2172390873015873
3,BWT,-0.1128095238095238
3,Forgetting,0.1128095238095238
3,FWT,0.2502857142857143
3,RAG_mean,0.0
3,Repetition_Gain,nan
4,A_t,0.13965714285714287
4,AIA,0.20172269841269844
4,BWT,-0.10207142857142856
4,Forgetting,0.10207142857142856
4,FWT,0.25092857142857145
4,RAG_mean,0.0
4,Repetition_Gain,nan
5,A_t,0.12865079365079365
5,AIA,0.18954404761904764
5,BWT,-0.09979047619047618
5,Forgetting,0.09979047619047618
5,FWT,0.2213142857142857
5,RAG_mean,0.0
5,Repetition_Gain,nan
6,A_t,0.1257142857142857
6,AIA,0.18042551020408165
6,BWT,-0.10633333333333332
6,Forgetting,0.10633333333333332
6,FWT,0.2118095238095238
6,RAG_mean,0.0
6,Repetition_Gain,nan
7,A_t,0.11471428571428571
7,AIA,0.17221160714285716
7,BWT,-0.09881632653061222
7,Forgetting,0.09881632653061222
7,FWT,0.21685714285714286
7,RAG_mean,0.0
7,Repetition_Gain,nan
8,A_t,0.10280952380952381
8,AIA,0.16450026455026456
8,BWT,-0.09301785714285714
8,Forgetting,0.09301785714285714
8,FWT,0.20117857142857143
8,RAG_mean,0.0
8,Repetition_Gain,nan
9,A_t,0.09947142857142859
9,AIA,0.15799738095238097
9,BWT,-0.08988888888888888
9,Forgetting,0.08988888888888888
9,FWT,0.18549206349206349
9,RAG_mean,0.0
9,Repetition_Gain,nan
9,Anchor_Retention,0.08333333333333333
9,Long_Range_Retention,0.119
