task_idx,metric,value
0,A_t,0.337
0,AIA,0.337
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.202
1,AIA,0.2695
1,BWT,-0.09999999999999998
1,Forgetting,0.09999999999999998
1,FWT,0.337
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.168
2,AIA,0.2356666666666667
2,BWT,-0.10400000000000001
2,Forgetting,0.10400000000000001
2,FWT,0.252
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.132
3,AIA,0.20975000000000002
3,BWT,-0.09266666666666667
3,Forgetting,0.09266666666666667
3,FWT,0.2373333333333333
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.1256
4,AIA,0.19292000000000004
4,BWT,-0.09250000000000001
4,Forgetting,0.09250000000000001
4,FWT,0.20149999999999998
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.11316666666666665
5,AIA,0.1796277777777778
5,BWT,-0.08660000000000001
5,Forgetting,0.08660000000000001
5,FWT,0.1996
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.10085714285714285
6,AIA,0.16837482993197278
6,BWT,-0.08433333333333333
6,Forgetting,0.08433333333333333
6,FWT,0.18533333333333335
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.0945
7,AIA,0.1591404761904762
7,BWT,-0.07914285714285715
7,Forgetting,0.07914285714285715
7,FWT,0.17314285714285718
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.08744444444444446
8,AIA,0.15117425044091712
8,BWT,-0.07400000000000001
8,Forgetting,0.07400000000000001
8,FWT,0.16375
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0814
9,AIA,0.14419682539682538
9,BWT,-0.07411111111111111
9,Forgetting,0.07411111111111111
9,FWT,0.15322222222222223
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.1
