task_idx,metric,value
0,A_t,0.33099999999999996
0,AIA,0.33099999999999996
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.20650000000000002
1,AIA,0.26875
1,BWT,-0.10599999999999996
1,Forgetting,0.10599999999999996
1,FWT,0.33099999999999996
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.16533333333333336
2,AIA,0.23427777777777778
2,BWT,-0.12349999999999997
2,Forgetting,0.12349999999999997
2,FWT,0.25949999999999995
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.1335
3,AIA,0.20908333333333334
3,BWT,-0.106
3,Forgetting,0.106
3,FWT,0.24766666666666662
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.1268
4,AIA,0.19262666666666667
4,BWT,-0.10575000000000001
4,Forgetting,0.10575000000000001
4,FWT,0.21299999999999997
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.11466666666666668
5,AIA,0.17963333333333334
5,BWT,-0.1012
5,Forgetting,0.1012
5,FWT,0.21139999999999998
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.10742857142857143
6,AIA,0.16931836734693878
6,BWT,-0.09633333333333333
6,Forgetting,0.09633333333333333
6,FWT,0.19899999999999998
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.10112499999999999
7,AIA,0.16079419642857143
7,BWT,-0.09157142857142857
7,Forgetting,0.09157142857142857
7,FWT,0.18999999999999997
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.09144444444444445
8,AIA,0.15308866843033508
8,BWT,-0.086
8,Forgetting,0.086
8,FWT,0.18125
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0890857142857143
9,AIA,0.146688373015873
9,BWT,-0.08144444444444444
9,Forgetting,0.08144444444444444
9,FWT,0.16788888888888887
9,RAG_mean,-0.03666666666666667
9,Repetition_Gain,-0.022857142857142854
9,Anchor_Retention,nan
9,Long_Range_Retention,0.096
