task_idx,metric,value
0,A_t,0.33000000000000007
0,AIA,0.33000000000000007
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.20949999999999996
1,AIA,0.26975000000000005
1,BWT,-0.09900000000000012
1,Forgetting,0.09900000000000012
1,FWT,0.33000000000000007
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.17066666666666666
2,AIA,0.23672222222222225
2,BWT,-0.10900000000000001
2,Forgetting,0.10900000000000001
2,FWT,0.259
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.1345
3,AIA,0.21116666666666667
3,BWT,-0.09666666666666668
3,Forgetting,0.09666666666666668
3,FWT,0.24333333333333332
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.1226
4,AIA,0.19345333333333334
4,BWT,-0.10025000000000002
4,Forgetting,0.10025000000000002
4,FWT,0.207
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.1105
5,AIA,0.1796277777777778
5,BWT,-0.0946
5,Forgetting,0.0946
5,FWT,0.2028
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.09942857142857142
6,AIA,0.16817074829931974
6,BWT,-0.09033333333333333
6,Forgetting,0.09033333333333333
6,FWT,0.18933333333333335
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.09387500000000001
7,AIA,0.15888377976190476
7,BWT,-0.084
7,Forgetting,0.084
7,FWT,0.17685714285714288
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.0858888888888889
8,AIA,0.15077323633156967
8,BWT,-0.078875
8,Forgetting,0.078875
8,FWT,0.16737500000000002
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.078
9,AIA,0.14349591269841272
9,BWT,-0.0748888888888889
9,Forgetting,0.0748888888888889
9,FWT,0.15600000000000003
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.064
