task_idx,metric,value
0,A_t,0.35
0,AIA,0.35
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.215
1,AIA,0.2825
1,BWT,-0.18799999999999994
1,Forgetting,0.18799999999999994
1,FWT,0.35
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.17433333333333334
2,AIA,0.24644444444444444
2,BWT,-0.18599999999999997
2,Forgetting,0.18599999999999997
2,FWT,0.30899999999999994
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.13875
3,AIA,0.21952083333333333
3,BWT,-0.157
3,Forgetting,0.157
3,FWT,0.2983333333333333
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.1282
4,AIA,0.2012566666666667
4,BWT,-0.15075
4,Forgetting,0.15075
4,FWT,0.2565
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.10766666666666667
5,AIA,0.18565833333333334
5,BWT,-0.1508
5,Forgetting,0.1508
5,FWT,0.2488
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.10185714285714285
6,AIA,0.17368673469387755
6,BWT,-0.13616666666666669
6,Forgetting,0.13616666666666669
6,FWT,0.2333333333333333
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.094
7,AIA,0.16372589285714284
7,BWT,-0.12814285714285717
7,Forgetting,0.12814285714285717
7,FWT,0.21857142857142856
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.08555555555555555
8,AIA,0.15504029982363315
8,BWT,-0.12
8,Forgetting,0.12
8,FWT,0.20612499999999997
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0771
9,AIA,0.14724626984126982
9,BWT,-0.10744444444444445
9,Forgetting,0.10766666666666667
9,FWT,0.19222222222222218
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.0
