task_idx,metric,value
0,A_t,0.35
0,AIA,0.35
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.20350000000000001
1,AIA,0.27675
1,BWT,-0.10499999999999995
1,Forgetting,0.10499999999999995
1,FWT,0.35
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.17
2,AIA,0.24116666666666667
2,BWT,-0.1105
2,Forgetting,0.1105
2,FWT,0.256
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.132
3,AIA,0.213875
3,BWT,-0.10133333333333332
3,Forgetting,0.10133333333333332
3,FWT,0.24366666666666667
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.119
4,AIA,0.19490000000000002
4,BWT,-0.08174999999999999
4,Forgetting,0.08174999999999999
4,FWT,0.208
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.107
5,AIA,0.18025000000000002
5,BWT,-0.086
5,Forgetting,0.086
5,FWT,0.18439999999999998
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.101
6,AIA,0.16892857142857146
6,BWT,-0.09066666666666666
6,Forgetting,0.09066666666666666
6,FWT,0.17866666666666667
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.0945
7,AIA,0.15962500000000002
7,BWT,-0.08714285714285715
7,Forgetting,0.08714285714285715
7,FWT,0.17871428571428574
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.08311111111111111
8,AIA,0.15112345679012348
8,BWT,-0.08637500000000001
8,Forgetting,0.08637500000000001
8,FWT,0.17075
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0749
9,AIA,0.14350111111111113
9,BWT,-0.07688888888888888
9,Forgetting,0.07688888888888888
9,FWT,0.15988888888888889
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.018000000000000002
