task_idx,metric,value
0,A_t,0.315
0,AIA,0.315
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1915
1,AIA,0.25325
1,BWT,-0.123
1,Forgetting,0.123
1,FWT,0.315
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.16233333333333333
2,AIA,0.22294444444444442
2,BWT,-0.1325
2,Forgetting,0.1325
2,FWT,0.253
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.13225
3,AIA,0.20027083333333331
3,BWT,-0.10766666666666665
3,Forgetting,0.10766666666666665
3,FWT,0.25066666666666665
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.11760000000000001
4,AIA,0.18373666666666666
4,BWT,-0.11725
4,Forgetting,0.11725
4,FWT,0.213
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.10683333333333334
5,AIA,0.17091944444444443
5,BWT,-0.11040000000000001
5,Forgetting,0.11040000000000001
5,FWT,0.21139999999999998
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.10042857142857142
6,AIA,0.16084931972789113
6,BWT,-0.10183333333333335
6,Forgetting,0.10183333333333335
6,FWT,0.19883333333333333
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.093375
7,AIA,0.15241502976190474
7,BWT,-0.0965714285714286
7,Forgetting,0.0965714285714286
7,FWT,0.18771428571428572
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.08477777777777777
8,AIA,0.1448997795414462
8,BWT,-0.092875
8,Forgetting,0.092875
8,FWT,0.177875
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.078
9,AIA,0.1382098015873016
9,BWT,-0.08555555555555557
9,Forgetting,0.08555555555555557
9,FWT,0.16733333333333333
9,RAG_mean,nan
9,Repetition_Gain,-0.08
9,Anchor_Retention,nan
9,Long_Range_Retention,0.016
