task_idx,metric,value
0,A_t,0.22000000000000003
0,AIA,0.22000000000000003
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.132
1,AIA,0.17600000000000002
1,BWT,-0.093
1,Forgetting,0.093
1,FWT,0.22000000000000003
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10300000000000002
2,AIA,0.1516666666666667
2,BWT,-0.099
2,Forgetting,0.099
2,FWT,0.17850000000000002
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.07875
3,AIA,0.13343750000000001
3,BWT,-0.07833333333333334
3,Forgetting,0.07833333333333334
3,FWT,0.169
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0668
4,AIA,0.12011000000000001
4,BWT,-0.10075
4,Forgetting,0.10075
4,FWT,0.1375
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06083333333333334
5,AIA,0.11023055555555555
5,BWT,-0.08800000000000001
5,Forgetting,0.08800000000000001
5,FWT,0.14740000000000003
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.053714285714285714
6,AIA,0.10215680272108843
6,BWT,-0.07816666666666668
6,Forgetting,0.07816666666666668
6,FWT,0.13416666666666668
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.047625
7,AIA,0.09534032738095238
7,BWT,-0.07371428571428573
7,Forgetting,0.07371428571428573
7,FWT,0.12071428571428575
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.043888888888888894
8,AIA,0.08962350088183421
8,BWT,-0.066875
8,Forgetting,0.066875
8,FWT,0.112125
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.04010000000000001
9,AIA,0.0846711507936508
9,BWT,-0.06644444444444444
9,Forgetting,0.06644444444444444
9,FWT,0.10333333333333333
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.009999999999999998
