task_idx,metric,value
0,A_t,0.20400000000000001
0,AIA,0.20400000000000001
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.11500000000000002
1,AIA,0.15950000000000003
1,BWT,-0.08199999999999999
1,Forgetting,0.08199999999999999
1,FWT,0.20400000000000001
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10466666666666667
2,AIA,0.14122222222222225
2,BWT,-0.094
2,Forgetting,0.094
2,FWT,0.15600000000000003
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08525
3,AIA,0.1272291666666667
3,BWT,-0.07833333333333334
3,Forgetting,0.07833333333333334
3,FWT,0.16733333333333333
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07100000000000001
4,AIA,0.11598333333333337
4,BWT,-0.09424999999999999
4,Forgetting,0.09424999999999999
4,FWT,0.144
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06266666666666666
5,AIA,0.10709722222222225
5,BWT,-0.08499999999999999
5,Forgetting,0.08499999999999999
5,FWT,0.1464
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05657142857142857
6,AIA,0.09987925170068031
6,BWT,-0.0785
6,Forgetting,0.0785
6,FWT,0.13349999999999998
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.049625
7,AIA,0.09359747023809524
7,BWT,-0.07142857142857142
7,Forgetting,0.07142857142857142
7,FWT,0.12385714285714286
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.04533333333333334
8,AIA,0.08823478835978836
8,BWT,-0.06425
8,Forgetting,0.06425
8,FWT,0.112125
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.04244285714285715
9,AIA,0.08365559523809524
9,BWT,-0.05877777777777778
9,Forgetting,0.05877777777777778
9,FWT,0.10244444444444445
9,RAG_mean,-0.14666666666666667
9,Repetition_Gain,-0.024761904761904763
9,Anchor_Retention,nan
9,Long_Range_Retention,0.006
