task_idx,metric,value
0,A_t,0.23000000000000004
0,AIA,0.23000000000000004
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1325
1,AIA,0.18125000000000002
1,BWT,-0.10400000000000004
1,Forgetting,0.10400000000000004
1,FWT,0.23000000000000004
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10233333333333335
2,AIA,0.15494444444444447
2,BWT,-0.10650000000000001
2,Forgetting,0.10650000000000001
2,FWT,0.18450000000000003
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.07775
3,AIA,0.13564583333333335
3,BWT,-0.08366666666666668
3,Forgetting,0.08366666666666668
3,FWT,0.17333333333333334
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.066
4,AIA,0.1217166666666667
4,BWT,-0.10500000000000002
4,Forgetting,0.10500000000000002
4,FWT,0.1405
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06116666666666667
5,AIA,0.11162500000000003
5,BWT,-0.09040000000000001
5,Forgetting,0.09040000000000001
5,FWT,0.15
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.054142857142857145
6,AIA,0.10341326530612248
6,BWT,-0.08000000000000002
6,Forgetting,0.08000000000000002
6,FWT,0.1365
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.047875
7,AIA,0.09647098214285715
7,BWT,-0.0755714285714286
7,Forgetting,0.0755714285714286
7,FWT,0.12271428571428573
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.043666666666666666
8,AIA,0.09060383597883598
8,BWT,-0.068875
8,Forgetting,0.068875
8,FWT,0.114
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.039400000000000004
9,AIA,0.08548345238095238
9,BWT,-0.063
9,Forgetting,0.063
9,FWT,0.10488888888888889
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.002
