task_idx,metric,value
0,A_t,0.21200000000000002
0,AIA,0.21200000000000002
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1265
1,AIA,0.16925
1,BWT,-0.08400000000000002
1,Forgetting,0.08400000000000002
1,FWT,0.21200000000000002
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10000000000000002
2,AIA,0.1461666666666667
2,BWT,-0.08500000000000002
2,Forgetting,0.08500000000000002
2,FWT,0.16850000000000004
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.07600000000000001
3,AIA,0.12862500000000002
3,BWT,-0.07433333333333335
3,Forgetting,0.07433333333333335
3,FWT,0.1566666666666667
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.06720000000000001
4,AIA,0.11634000000000003
4,BWT,-0.09475
4,Forgetting,0.09475
4,FWT,0.13175000000000003
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.060500000000000005
5,AIA,0.10703333333333336
5,BWT,-0.08280000000000001
5,Forgetting,0.08280000000000001
5,FWT,0.14300000000000002
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.053714285714285714
6,AIA,0.09941632653061226
6,BWT,-0.08533333333333333
6,Forgetting,0.08533333333333333
6,FWT,0.12950000000000003
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.049125
7,AIA,0.09312991071428572
7,BWT,-0.07714285714285715
7,Forgetting,0.07714285714285715
7,FWT,0.12685714285714286
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.044888888888888895
8,AIA,0.08776979717813052
8,BWT,-0.07187500000000001
8,Forgetting,0.07187500000000001
8,FWT,0.11662500000000002
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0403
9,AIA,0.08302281746031746
9,BWT,-0.06555555555555556
9,Forgetting,0.06555555555555556
9,FWT,0.1087777777777778
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.008
