task_idx,metric,value
0,A_t,0.191
0,AIA,0.191
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.10850000000000001
1,AIA,0.14975
1,BWT,-0.109
1,Forgetting,0.109
1,FWT,0.191
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.08900000000000001
2,AIA,0.1295
2,BWT,-0.09
2,Forgetting,0.09
2,FWT,0.163
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.07250000000000001
3,AIA,0.11525
3,BWT,-0.071
3,Forgetting,0.071
3,FWT,0.149
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.06420000000000001
4,AIA,0.10504
4,BWT,-0.0825
4,Forgetting,0.0825
4,FWT,0.12575
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.05566666666666668
5,AIA,0.09681111111111111
5,BWT,-0.0702
5,Forgetting,0.0702
5,FWT,0.1302
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05185714285714286
6,AIA,0.0903891156462585
6,BWT,-0.07150000000000001
6,Forgetting,0.07150000000000001
6,FWT,0.11416666666666668
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.04625
7,AIA,0.0848717261904762
7,BWT,-0.06271428571428572
7,Forgetting,0.06271428571428572
7,FWT,0.11314285714285714
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.044333333333333336
8,AIA,0.08036746031746032
8,BWT,-0.057875
8,Forgetting,0.057875
8,FWT,0.10112499999999999
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.040900000000000006
9,AIA,0.0764207142857143
9,BWT,-0.05522222222222222
9,Forgetting,0.05522222222222222
9,FWT,0.09577777777777778
9,RAG_mean,nan
9,Repetition_Gain,-0.07999999999999999
9,Anchor_Retention,nan
9,Long_Range_Retention,0.004
