task_idx,metric,value
0,A_t,0.258
0,AIA,0.258
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.15121428571428572
1,AIA,0.20460714285714288
1,BWT,-0.067
1,Forgetting,0.067
1,FWT,0.258
1,RAG_mean,0.11666666666666665
1,Repetition_Gain,0.005238095238095222
2,A_t,0.12920634920634919
2,AIA,0.17947354497354498
2,BWT,-0.05804761904761907
2,Forgetting,0.05804761904761907
2,FWT,0.18471428571428572
2,RAG_mean,0.11666666666666665
2,Repetition_Gain,nan
3,A_t,0.12098214285714286
3,AIA,0.16485069444444445
3,BWT,-0.045642857142857145
3,Forgetting,0.045642857142857145
3,FWT,0.16790476190476192
3,RAG_mean,0.11666666666666665
3,Repetition_Gain,nan
4,A_t,0.10125714285714287
4,AIA,0.15213198412698412
4,BWT,-0.05899999999999999
4,Forgetting,0.05899999999999999
4,FWT,0.15521428571428572
4,RAG_mean,0.11666666666666665
4,Repetition_Gain,nan
5,A_t,0.0898095238095238
5,AIA,0.1417449074074074
5,BWT,-0.04782857142857143
5,Forgetting,0.04868571428571429
5,FWT,0.14845714285714287
5,RAG_mean,0.11666666666666665
5,Repetition_Gain,nan
6,A_t,0.08259183673469388
6,AIA,0.13329446873987688
6,BWT,-0.060928571428571415
6,Forgetting,0.06164285714285714
6,FWT,0.12966666666666668
6,RAG_mean,0.11666666666666665
6,Repetition_Gain,nan
7,A_t,0.08096428571428571
7,AIA,0.126753195861678
7,BWT,-0.07371428571428572
7,Forgetting,0.07738775510204084
7,FWT,0.13481632653061223
7,RAG_mean,0.11666666666666665
7,Repetition_Gain,nan
8,A_t,0.07374426807760141
8,AIA,0.1208633149967806
8,BWT,-0.07018055555555557
8,Forgetting,0.07339484126984128
8,FWT,0.1454642857142857
8,RAG_mean,0.11666666666666665
8,Repetition_Gain,nan
9,A_t,0.06782857142857143
9,AIA,0.11555984063995968
9,BWT,-0.07012698412698412
9,Forgetting,0.07457142857142857
9,FWT,0.13612698412698412
9,RAG_mean,0.11666666666666665
9,Repetition_Gain,nan
9,Anchor_Retention,0.016666666666666666
9,Long_Range_Retention,0.064
