task_idx,metric,value
0,A_t,0.31999999999999995
0,AIA,0.31999999999999995
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.143
1,AIA,0.23149999999999998
1,BWT,-0.18599999999999997
1,Forgetting,0.18599999999999997
1,FWT,0.31999999999999995
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.13133333333333333
2,AIA,0.1981111111111111
2,BWT,-0.12449999999999997
2,Forgetting,0.12449999999999997
2,FWT,0.236
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.09325
3,AIA,0.1718958333333333
3,BWT,-0.09966666666666664
3,Forgetting,0.10766666666666665
3,FWT,0.21433333333333335
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.07020000000000001
4,AIA,0.15155666666666665
4,BWT,-0.09624999999999997
4,Forgetting,0.10224999999999998
4,FWT,0.168
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.056833333333333326
5,AIA,0.13576944444444441
5,BWT,-0.08839999999999999
5,Forgetting,0.1022
5,FWT,0.1472
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.056
6,AIA,0.12437380952380951
6,BWT,-0.07999999999999999
6,Forgetting,0.09183333333333334
6,FWT,0.1305
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05525
7,AIA,0.11573333333333333
7,BWT,-0.07514285714285715
7,Forgetting,0.0852857142857143
7,FWT,0.12457142857142857
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.057444444444444444
8,AIA,0.10925679012345678
8,BWT,-0.062625
8,Forgetting,0.072625
8,FWT,0.121
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0465
9,AIA,0.1029811111111111
9,BWT,-0.06433333333333333
9,Forgetting,0.07433333333333333
9,FWT,0.1131111111111111
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.051000000000000004
