task_idx,metric,value
0,A_t,0.28099999999999997
0,AIA,0.28099999999999997
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14950000000000002
1,AIA,0.21525
1,BWT,-0.14499999999999996
1,Forgetting,0.14499999999999996
1,FWT,0.28099999999999997
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.122
2,AIA,0.18416666666666667
2,BWT,-0.13349999999999998
2,Forgetting,0.13349999999999998
2,FWT,0.22199999999999998
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.10425
3,AIA,0.1641875
3,BWT,-0.08733333333333332
3,Forgetting,0.08733333333333332
3,FWT,0.211
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0718
4,AIA,0.14570999999999998
4,BWT,-0.10400000000000001
4,Forgetting,0.10400000000000001
4,FWT,0.16975
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06300000000000001
5,AIA,0.131925
5,BWT,-0.09659999999999999
5,Forgetting,0.099
5,FWT,0.155
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.06014285714285715
6,AIA,0.12167040816326531
6,BWT,-0.08966666666666667
6,Forgetting,0.09166666666666667
6,FWT,0.1435
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.060875000000000005
7,AIA,0.11407098214285714
7,BWT,-0.0822857142857143
7,Forgetting,0.084
7,FWT,0.13699999999999998
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.046000000000000006
8,AIA,0.10650753968253969
8,BWT,-0.08224999999999999
8,Forgetting,0.08374999999999999
8,FWT,0.132875
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.04290000000000001
9,AIA,0.10014678571428573
9,BWT,-0.07477777777777778
9,Forgetting,0.07644444444444445
9,FWT,0.1191111111111111
9,RAG_mean,-0.02
9,Repetition_Gain,-0.030000000000000002
9,Anchor_Retention,nan
9,Long_Range_Retention,0.052000000000000005
