task_idx,metric,value
0,A_t,0.29400000000000004
0,AIA,0.29400000000000004
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.136
1,AIA,0.21500000000000002
1,BWT,-0.18100000000000005
1,Forgetting,0.18100000000000005
1,FWT,0.29400000000000004
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.10399999999999998
2,AIA,0.17800000000000002
2,BWT,-0.11300000000000002
2,Forgetting,0.11300000000000002
2,FWT,0.22650000000000003
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.08075
3,AIA,0.1536875
3,BWT,-0.09566666666666668
3,Forgetting,0.09566666666666668
3,FWT,0.17933333333333334
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0732
4,AIA,0.13759000000000002
4,BWT,-0.09975000000000002
4,Forgetting,0.09975000000000002
4,FWT,0.15250000000000002
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.0645
5,AIA,0.12540833333333334
5,BWT,-0.1106
5,Forgetting,0.1106
5,FWT,0.15300000000000002
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05585714285714287
6,AIA,0.11547244897959184
6,BWT,-0.10266666666666664
6,Forgetting,0.10266666666666664
6,FWT,0.1566666666666667
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05525000000000001
7,AIA,0.10794464285714286
7,BWT,-0.09157142857142857
7,Forgetting,0.09157142857142857
7,FWT,0.14385714285714288
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.042444444444444444
8,AIA,0.1006668430335097
8,BWT,-0.113375
8,Forgetting,0.113375
8,FWT,0.13537500000000002
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.033
9,AIA,0.09390015873015874
9,BWT,-0.1147777777777778
9,Forgetting,0.1147777777777778
9,FWT,0.14322222222222225
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.015000000000000003
