task_idx,metric,value
0,A_t,0.23199999999999998
0,AIA,0.23199999999999998
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.16999999999999998
1,AIA,0.20099999999999998
1,BWT,-0.07
1,Forgetting,0.07
1,FWT,0.23199999999999998
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.13466666666666668
2,AIA,0.17888888888888888
2,BWT,-0.09449999999999999
2,Forgetting,0.09449999999999999
2,FWT,0.205
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.11025000000000001
3,AIA,0.16172916666666665
3,BWT,-0.062333333333333324
3,Forgetting,0.06799999999999999
3,FWT,0.19766666666666666
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0752
4,AIA,0.14442333333333332
4,BWT,-0.08775
4,Forgetting,0.0945
4,FWT,0.157
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06766666666666667
5,AIA,0.13163055555555556
5,BWT,-0.08019999999999998
5,Forgetting,0.08759999999999998
5,FWT,0.1454
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.05342857142857143
6,AIA,0.12045884353741496
6,BWT,-0.08683333333333333
6,Forgetting,0.09300000000000001
6,FWT,0.13449999999999998
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.057875
7,AIA,0.1126358630952381
7,BWT,-0.07857142857142858
7,Forgetting,0.08385714285714287
7,FWT,0.12785714285714284
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05011111111111111
8,AIA,0.1056886684303351
8,BWT,-0.0735
8,Forgetting,0.078125
8,FWT,0.126625
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0403
9,AIA,0.09914980158730159
9,BWT,-0.07244444444444444
9,Forgetting,0.07655555555555556
9,FWT,0.11544444444444443
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.064
