task_idx,metric,value
0,A_t,0.288
0,AIA,0.288
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.1345
1,AIA,0.21125
1,BWT,-0.17999999999999997
1,Forgetting,0.17999999999999997
1,FWT,0.288
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.09999999999999999
2,AIA,0.17416666666666666
2,BWT,-0.11700000000000002
2,Forgetting,0.1215
2,FWT,0.2245
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.079
3,AIA,0.15037499999999998
3,BWT,-0.09433333333333334
3,Forgetting,0.09733333333333331
3,FWT,0.17800000000000002
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.0684
4,AIA,0.13398
4,BWT,-0.10025
4,Forgetting,0.1025
4,FWT,0.14975
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.06283333333333334
5,AIA,0.1221222222222222
5,BWT,-0.1116
5,Forgetting,0.11339999999999999
5,FWT,0.1486
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.051857142857142866
6,AIA,0.11208435374149658
6,BWT,-0.10866666666666669
6,Forgetting,0.11016666666666668
6,FWT,0.15583333333333335
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.058125
7,AIA,0.10533943452380952
7,BWT,-0.09228571428571429
7,Forgetting,0.09357142857142857
7,FWT,0.14500000000000002
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.03633333333333333
8,AIA,0.09767208994708994
8,BWT,-0.11700000000000002
8,Forgetting,0.11812500000000001
8,FWT,0.138875
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.034
9,AIA,0.09130488095238096
9,BWT,-0.10744444444444445
9,Forgetting,0.10844444444444444
9,FWT,0.1403333333333333
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.064
