task_idx,metric,value
0,A_t,0.284
0,AIA,0.284
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.14550000000000002
1,AIA,0.21475
1,BWT,-0.11199999999999996
1,Forgetting,0.11199999999999996
1,FWT,0.284
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.137
2,AIA,0.18883333333333333
2,BWT,-0.07899999999999997
2,Forgetting,0.07899999999999999
2,FWT,0.20149999999999998
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.095
3,AIA,0.165375
3,BWT,-0.11299999999999998
3,Forgetting,0.11299999999999998
3,FWT,0.18966666666666665
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.08960000000000001
4,AIA,0.15022
4,BWT,-0.09449999999999997
4,Forgetting,0.09449999999999997
4,FWT,0.17975
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.0745
5,AIA,0.1376
5,BWT,-0.0892
5,Forgetting,0.0892
5,FWT,0.16519999999999999
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.062000000000000006
6,AIA,0.1268
6,BWT,-0.07883333333333332
6,Forgetting,0.07966666666666665
6,FWT,0.14883333333333335
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.05562500000000001
7,AIA,0.117903125
7,BWT,-0.08142857142857142
7,Forgetting,0.08214285714285714
7,FWT,0.1295714285714286
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.05255555555555556
8,AIA,0.11064228395061729
8,BWT,-0.070875
8,Forgetting,0.07150000000000001
8,FWT,0.126875
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.0512
9,AIA,0.10469805555555556
9,BWT,-0.06677777777777777
9,Forgetting,0.06788888888888889
9,FWT,0.11555555555555554
9,RAG_mean,nan
9,Repetition_Gain,0.054000000000000006
9,Anchor_Retention,nan
9,Long_Range_Retention,0.044
